asin,author,availability,barcode,best_sellers_rank,book_format,customer_reviews,description,dimensions,edition,features,isbn_10,isbn_13,item_weight,language,number_of_reviews,part_of_series,price,print_length,product_name,product_url,publication_date,publisher,rating,reading_age
"‎
                                         B004AHM8RW",David Walliams,,9780007371082,"#308,734 in Kindle Store (See Top 100 in Kindle Store)   #105 in Children's Time Travel Books  #288 in Children's Humorous Action & Adventure  #1,574 in Children's Humorous Literature",Unknown,4.5 out of 5,"A hilarious, touching and extraordinary new fable from David Walliams, number one bestseller and one of the fastest growing children’s author across the globe.",,,,,"‎
                                         978-0007371433",,"‎
                                         English","10,594 ratings",,7.99,"‎
                                           293 pages",Billionaire Boy: A funny friendship story for children ages 9+ from the Sunday Times bestseller,https://www.amazon.com/Billionaire-Boy-David-Walliams-ebook/dp/B004AHM8RW/ref=sr_1_1?currency=USD&dib=eyJ2IjoiMSJ9.kGx9l382GIXa9laSdJJGSOLGoSYJqwIBKLUuYK-2VoU.Wp387j2byzvZroCV2PqwNEFZrMs9M5x7dl_F70cIMXI&dib_tag=se&keywords=9780007371082&qid=1762857240&sr=8-1,"‎
                                         October 28, 2010","‎
                                         HarperCollinsChildren’sBooks",4.5 out of 5 stars,"‎
                                         9 years and up"
,Aliki,In Stock,9780064450836,"#275,382 in Books (See Top 100 in Books)   #30 in Children's Anatomy Books  #71 in Children's Earth Sciences Books (Books)  #347 in Children's Biology Books (Books)",Unknown,4.8 out of 5,Read and find out about your five senses in this colorfully illustrated nonfiction picture book.,"‎
                                         10 x 0.38 x 8 inches","‎
                                         Revised",,"‎
                                         0062381911","‎
                                         978-0062381910","‎
                                         12 ounces","‎
                                         English","1,242 ratings","‎
                                         Let's-Read-and-Find-Out Science 1",13.73,"‎
                                         32 pages",My Five Senses (Let's-Read-and-Find-Out Science 1),https://www.amazon.com/Five-Senses-Lets-Read-Find-Out-Science/dp/0062381911/ref=sr_1_1?currency=USD&dib=eyJ2IjoiMSJ9.lEjzsRPTCKfxUfdNnTqQ9A.vr6znZ7bqCKipTBA541Eijj2wq9kzyzql7tT7LdY4uE&dib_tag=se&keywords=9780064450836&qid=1762857317&sr=8-1,"‎
                                         August 4, 2015","‎
                                         HarperCollins",4.8 out of 5 stars,"‎
                                         2 - 5 years, from customers"
,Eric Carle,In Stock,9780140563788,"#2,944 in Books (See Top 100 in Books)   #4 in Children's Books on the Body  #18 in Children's Sense & Sensation Books  #39 in Poetry for Early Learning",Unknown,4.8 out of 5,"From Eric Carle, the","‎
                                         4.75 x 0.5 x 7 inches","‎
                                         Brdbk",,"‎
                                         0694013013","‎
                                         978-0694013012","‎
                                         8 ounces","‎
                                         English","6,824 ratings",,7.99,"‎
                                         28 pages",From Head to Toe,https://www.amazon.com/Head-Toe-Board-Book/dp/0694013013/ref=sr_1_1?currency=USD&dib=eyJ2IjoiMSJ9.L2KTp9WzPk9LltvxO-kNbQ.Xx1E11U1kycLBIaN7ZPfYMeNBjhuX5Xu-wFejzCNDIc&dib_tag=se&keywords=9780140563788&qid=1762857426&sr=8-1,"‎
                                         March 27, 1999","‎
                                         HarperCollins",4.8 out of 5 stars,"‎
                                         1 - 3 years, from customers"
,Roald Dahl,In Stock,9780140926521,"#365,576 in Books (See Top 100 in Books)",Unknown,4.7 out of 5,"Roald Dahl's stories continue to delight, excite, shock, entertain and please generation after generation of children. This 15 book box set includes: The BFG, Matilda, Esio Trot, George's Marvellous Medicine, Charlie and the Chocolate Factory, Fantastic Mr Fox, Charlie and the Great Glass Elevator, The Magic Finger, Danny the Champion of the World, The Twits, The Witches, Going Solo, The Giraffe and the Pelly and me, James and the Giant Peach, and Boy Tales of Childhood. Paperbacks. Illustrations by Quentin Blake.","‎
                                         4.92 x 0.59 x 8.27 inches","‎
                                         First Edition",,"‎
                                         0140926526","‎
                                         978-0140926521","‎
                                         5.25 pounds","‎
                                         English","1,664 ratings",,42.99,,Roald Dahl 15 Book Box Set,https://www.amazon.com/Roald-Dahl-Book-Box-Set/dp/0140926526/ref=sr_1_1?currency=USD&dib=eyJ2IjoiMSJ9.L4g4h7ciEmHl6s6xswnl9iXbmCvLQr5zG7-gMpV9ROs.pjC_NUADDH1onIblrkgZkhAyT0KAU1yZJkXqY64NDr8&dib_tag=se&keywords=9780140926521&qid=1762857467&sr=8-1,"‎
                                         January 1, 1997","‎
                                         Penguin Group",4.7 out of 5 stars,"‎
                                         7 - 11 years, from customers"
"‎
                                         B0051XV5Y6",Jeff Kinney,In Stock,9780141324906,"#1,261 in Books (See Top 100 in Books)   #12 in Children's Friendship Books  #50 in Children's School Issues  #105 in Children's Humorous Comics & Graphic Novels",Unknown,4.6 out of 5,Middle school is a survival game. Greg Heffley’s just trying not to lose.,"‎
                                         5.5 x 0.95 x 8 inches","‎
                                         Illustrated",,"‎
                                         1419741853","‎
                                         978-1419741852","‎
                                         13.8 ounces","‎
                                         English","30,789 ratings",,7.82,"‎
                                         224 pages",Diary of a Wimpy Kid: The hilarious first book in the #1 international bestselling series about surviving middle school (Book 1) (Volume 1),https://www.amazon.com/Diary-of-a-Wimpy-Kid/dp/B0051XV5Y6/ref=sr_1_1?currency=USD&dib=eyJ2IjoiMSJ9.mPzSyaJT0Ph_ZyDJWK3BBA.ejiZIKGWWvmtpScVePPF4PegNSXpQv5d7uQPkQ1SqGY&dib_tag=se&keywords=9780141324906&qid=1762857488&sr=8-1,"‎
                                         April 1, 2007","‎
                                         Amulet Books",4.6 out of 5 stars,"‎
                                         7+ years, from customers"
"‎
                                         B002M3SOZG",Jeff Kinney,In Stock,9780141324913,"#2,328 in Books (See Top 100 in Books)   #16 in Children's Humor  #25 in Children's Siblings Books (Books)  #101 in Children's Comics & Graphic Novels (Books)",Unknown,4.7 out of 5,Some secrets are meant to stay buried—too bad Greg records everything in his diary.,"‎
                                         5.5 x 1 x 8 inches","‎
                                         Illustrated",,"‎
                                         1419741861","‎
                                         978-1419741869","‎
                                         13.8 ounces","‎
                                         English","23,220 ratings",,5.48,"‎
                                         224 pages",Rodrick Rules: A hilariously awkward sibling showdown from the #1 international bestselling Diary of a Wimpy Kid series (Book 2),https://www.amazon.com/Rodrick-Rules/dp/B002M3SOZG/ref=sr_1_1?currency=USD&dib=eyJ2IjoiMSJ9.Ye3Qtzv1xF0lLc6StqRUIISJ4gFZ1vzANRgNL7fP79U.O9e76pUCHWyUOR6Yfnfm4CeGAXAJHzRCwOrVcdaxRKI&dib_tag=se&keywords=9780141324913&qid=1762857530&sr=8-1,"‎
                                         February 1, 2008","‎
                                         Amulet Books",4.7 out of 5 stars,"‎
                                         7 - 11 years, from customers"
"‎
                                         B0030H0XSO",Jeff Kinney,In Stock,9780141331973,"#2,935 in Books (See Top 100 in Books)   #16 in Children's Friendship Books  #109 in Children's School Issues  #152 in Children's Humorous Comics & Graphic Novels",Unknown,4.9 out of 5,In,"‎
                                         5.5 x 1 x 8 inches","‎
                                         Illustrated",,"‎
                                         1419741888","‎
                                         978-1419741883","‎
                                         13.8 ounces","‎
                                         English","3,963 ratings",,5.48,"‎
                                         224 pages",Dog Days (Diary of a Wimpy Kid #4) (Volume 4),https://www.amazon.com/Dog-Days/dp/B0030H0XSO/ref=sr_1_1?currency=USD&dib=eyJ2IjoiMSJ9.sYxoseDvmV3c-lPd4B7FyoSJ4gFZ1vzANRgNL7fP79U.Dm_v0VGsdHOWH_OBN0RmyBz0qlKozeqexhlaFa3erXM&dib_tag=se&keywords=9780141331973&qid=1762857573&sr=8-1,"‎
                                         October 12, 2009","‎
                                         Amulet Books",4.9 out of 5 stars,"‎
                                         7 - 11 years, from customers"
,Roald Dahl,In Stock,9780142410318,"#1,344 in Books (See Top 100 in Books)   #32 in Children's Humor  #82 in Children's Classics  #142 in Children's Action & Adventure Books (Books)",Unknown,4.7 out of 5,From the author of,"‎
                                         5.13 x 0.54 x 7.75 inches","‎
                                         Reprint",,"‎
                                         0142410314","‎
                                         978-0142410318","‎
                                         4.8 ounces","‎
                                         English","21,572 ratings",,5.39,"‎
                                         192 pages",Charlie and the Chocolate Factory,https://www.amazon.com/Charlie-Chocolate-Factory-Roald-Dahl/dp/0142410314/ref=sr_1_1?currency=USD&dib=eyJ2IjoiMSJ9.FDkkTb_aX4DdhXbQ7sMKVQ.fswiGsar2J94waoZAD51jF2B7QYDH0UpZzzcFvWZmtw&dib_tag=se&keywords=9780142410318&qid=1762857623&sr=8-1,"‎
                                         August 16, 2007","‎
                                         Viking Books for Young Readers",4.7 out of 5 stars,"‎
                                         6+ years, from customers"
,Julia Donaldson,Only 2 left in stock - order soon.,9780230736108,,Unknown,3.4 out of 5,"When a timid little duckbill dinosaur hatches out in a T rex nest he feels decidedly out of place. Poor little Drip: all he wants is a quiet life munching on waterweed . . . But his grisly big sisters are about to discover that Drip is braver than he looks!Including music and lyrics, this fantastic Jurassic adventure is perfect for any child who can't wait to spend their World Book Day voucher. Now everyone can sing along!","‎
                                         5.71 x 0.04 x 7.09 inches","‎
                                         World Book Day Ed",,"‎
                                         0230736106","‎
                                         978-0230736108","‎
                                         3.53 ounces","‎
                                         English",8 ratings,,6.2,"‎
                                         16 pages",The Tyrannosaurus Drip Song,https://www.amazon.com/Tyrannosaurus-Drip-Song-World-Book/dp/0230736106/ref=sr_1_1?currency=USD&dib=eyJ2IjoiMSJ9.HA_wKkjNHJA6GJIye62yQg.CiSmjW4rGTWu1bFcy7fEXhRbSt2NUp7K4F3unEWOMN0&dib_tag=se&keywords=9780230736108&qid=1762857651&sr=8-1,"‎
                                         February 1, 2009","‎
                                         Macmillan Children's Books",3.4 out of 5 stars,"‎
                                         2 - 6 years"
,Eric Carle,In Stock,9780241003008,#465 in Books (See Top 100 in Books)   #1 in Children's Classics  #1 in Children's Bug & Spider Books (Books)  #1 in Children's Counting Books,Unknown,4.9 out of 5,THE ICONIC #1 BESTSELLER • The all-time classic picture book starring the world’s favorite caterpillar! Generations of children have grown up on this beautifully dramatized story of a caterpillar who eats his way to becoming a butterfly.One of,"‎
                                         12.13 x 0.45 x 8.56 inches","‎
                                         Revised Edition",,"‎
                                         0399208534","‎
                                         978-0399208539","‎
                                         1.05 pounds","‎
                                         English","77,881 ratings","‎
                                         The Very Hungry Caterpillar",10.42,"‎
                                         32 pages",The Very Hungry Caterpillar (Rise and Shine),https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399208534/ref=sr_1_1?currency=USD&dib=eyJ2IjoiMSJ9.vFLldFUBEKecTV0MBhvz0BgOzaEOuPc5Csk8FQqaD_M.BoHV5VuQy-kOl2Lyo81yz-Ea7E_tHdE3Fo1MQYvyLmk&dib_tag=se&keywords=9780241003008&qid=1762857668&sr=8-1,"‎
                                         October 15, 1981","‎
                                         World of Eric Carle",4.9 out of 5 stars,"‎
                                         1+ years, from customers"
