isbn,title,series,year_quarter,format,channel,q_num,q_since_first,avg_discount_rate,print_length,item_weight,length,width,height,rating,price,quantity
9781529088601,Andy Griffiths: The 156-Storey Treehouse,andy_griffiths,2023Q1,paperback,retail,1,1,1.49,,,,,,,,84.00
9781529088601,Andy Griffiths: The 156-Storey Treehouse,andy_griffiths,2023Q2,paperback,retail,2,2,0.46,,,,,,,,48.00
9781529088601,Andy Griffiths: The 156-Storey Treehouse,andy_griffiths,2023Q3,paperback,retail,3,3,1.25,,,,,,,,36.00
9781529088601,Andy Griffiths: The 156-Storey Treehouse,andy_griffiths,2023Q4,paperback,retail,4,4,0.58,,,,,,,,26.00
9789814919999,Captain Underpants #10 Colour Edition PB CU and Revolting Revenge of the Radioact,captain_underpants,2024Q4,paperback,retail,4,12,0.00,,,,,,,,2.00
9789814919999,Captain Underpants #10 Colour Edition PB CU and Revolting Revenge of the Radioact,captain_underpants,2025Q1,paperback,retail,1,13,0.00,,,,,,,,2.00
9789814919999,Captain Underpants #10 Colour Edition PB CU and Revolting Revenge of the Radioact,captain_underpants,2025Q2,paperback,retail,2,14,0.00,,,,,,,,1.00
9789814919999,Captain Underpants #10 Colour Edition PB CU and Revolting Revenge of the Radioact,captain_underpants,2025Q3,paperback,retail,3,15,0.00,,,,,,,,1.00
9789814919975,Captain Underpants #8 Colour Edtion PB: The Preposterous,captain_underpants,2024Q4,paperback,retail,4,16,0.00,,,,,,,,3.00
9789814919975,Captain Underpants #8 Colour Edtion PB: The Preposterous,captain_underpants,2025Q1,paperback,retail,1,17,0.00,,,,,,,,2.00
9789814919975,Captain Underpants #8 Colour Edtion PB: The Preposterous,captain_underpants,2025Q2,paperback,retail,2,18,0.00,,,,,,,,2.00
9789814919975,Captain Underpants #8 Colour Edtion PB: The Preposterous,captain_underpants,2025Q3,paperback,retail,3,19,4.00,,,,,,,,1.00
9781338347210,Captain Underpants #9 HB Colour: & the Terrifying Return of Tippy,captain_underpants,2020Q2,hardcover,retail,2,0,8.75,304.00,24.800,8.300,5.600,1.000,4.800,7.990,16.00
9781338347210,Captain Underpants #9 HB Colour: & the Terrifying Return of Tippy,captain_underpants,2020Q4,hardcover,retail,4,2,6.67,304.00,24.800,8.300,5.600,1.000,4.800,7.990,3.00
9781338347210,Captain Underpants #9 HB Colour: & the Terrifying Return of Tippy,captain_underpants,2021Q1,hardcover,retail,1,3,0.00,304.00,24.800,8.300,5.600,1.000,4.800,7.990,1.00
9781338347210,Captain Underpants #9 HB Colour: & the Terrifying Return of Tippy,captain_underpants,2020Q3,hardcover,retail,3,1,50.00,304.00,24.800,8.300,5.600,1.000,4.800,7.990,1.00
9789813387386,Dav Pilkey - Cat Kid Comic Club #3: On Purpose,cat_kid,2024Q4,paperback,retail,4,6,0.00,,,,,,,,14.00
9789813387386,Dav Pilkey - Cat Kid Comic Club #3: On Purpose,cat_kid,2024Q2,paperback,retail,2,4,0.00,,,,,,,,11.00
9789813387386,Dav Pilkey - Cat Kid Comic Club #3: On Purpose,cat_kid,2024Q1,paperback,retail,1,3,2.22,,,,,,,,9.00
9789813387386,Dav Pilkey - Cat Kid Comic Club #3: On Purpose,cat_kid,2023Q4,paperback,retail,4,2,0.00,,,,,,,,8.00
9781338236576,Dog Man #06 HB: Brawl Of the Wild (OP),dog_man,2020Q1,hardcover,retail,1,5,1.11,,,,,,,,18.00
9781338236576,Dog Man #06 HB: Brawl Of the Wild (OP),dog_man,2020Q2,hardcover,retail,2,6,0.00,,,,,,,,8.00
9781338236576,Dog Man #06 HB: Brawl Of the Wild (OP),dog_man,2020Q3,hardcover,retail,3,7,0.50,,,,,,,,10.00
