isbn,data_source,title,authors,publisher,publication_date,language,page_count,categories,average_rating,ratings_count,description,thumbnail,binding,dimensions,weight
9780007371082,Google Books,Billionaire Boy,David Walliams,HarperCollins UK,2011,en,24.0,Juvenile Nonfiction,5.0,5.0,The lonely son of a billionaire toilet roll magnate starts at a comprehensive school incognito in the hope of making a new friend.,http://books.google.com/books/content?id=IL23kEsDo7IC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9780064450836,Google Books,My Five Senses,Aliki,Collins,1989-09-21,en,40.0,Juvenile Nonfiction,,,"How do you learn what the world is like? Through your five senses! Each sound and taste, each smell, sight, and touch helps you to discover something new. So find out more about your senses-what they are and what you can learn through them about the exciting world.The world awaits!",http://books.google.com/books/content?id=P40lAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9780140563788,Google Books,From Head to Toe,Eric Carle,Puffin,1999-01,en,32.0,Animal mechanics,,,"""Can you wave your arms like a monkey, clap your hands like a seal or stomp like an elephant? Yes, you can! Are you ready? Here we go! Move yourself From Head to Toe.""--Backcover.",http://books.google.com/books/content?id=8B2YPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9780140926521,Google Books,Matilda,Roald Dahl,,2008,en,0.0,,,,,http://books.google.com/books/content?id=UcaWMwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9780141324906,Google Books,Diary of a Wimpy Kid,Jeff Kinney,Penguin Books India,2007,en,228.0,Juvenile Fiction,4.0,84.0,"Greg Heffley finds himself thrust into a new year and a new school where undersize weaklings share the corridors with kids who are taller, meaner and already shaving. Greg is happy to have his sidekick, Rowley, along for the ride. When Rowley's star starts to rise, Greg tries to use his best friend's popularity to his own advantage.",http://books.google.com/books/content?id=Ln4HejRlMXYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,
9780141324913,Google Books,Rodrick Rules,Jeff Kinney,Puffin Books,2009-01-01,en,216.0,Brothers,4.5,16.0,"Rodrick Rules is the hilarious sequel to bestselling and award-winning Diary of a Wimpy Kid. Perfect for readers of 8+, reluctant readers and all the millions of Wimpy Kid fans out there. Rodrick Rules was also a major movie hit at the box-office and the rib-tickling third Wimpy Kid movie, Dog Days released in the UK in August 2012!Whatever you do, don't ask Greg about his summer vacation because he definitely doesn't want to talk about it . . .It's a brand-new year and a brand-new journal and G",http://books.google.com/books/content?id=GYDFPQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9780141331973,Google Books,Dog Days,Jeff Kinney,Puffin Books,2011,en,214.0,Children's stories,4.0,8.0,"Diary of a Wimpy Kid: Dog Days is the super funny fourth title in the highly-illustrated, bestselling and award-winning Diary of a Wimpy Kid series by Jeff Kinney. Perfect for both boys and girls of 8+, reluctant readers and all the millions of devoted Wimpy Kid fans out there. Dog Days is also a major motion picture and box office smash.The fourth mega-selling instalment in the hilarious Diary of a Wimpy Kid series!The way I like to spend my summer holidays is in front of the TV, playing video ",http://books.google.com/books/content?id=XMJ-QwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9780142410318,Google Books,Charlie and the Chocolate Factory,Roald Dahl,Penguin,2007-08-16,en,193.0,Juvenile Fiction,5.0,1.0,"From the author of The BFG and Matilda! Willy Wonka's famous chocolate factory is opening at last! But only five lucky children will be allowed inside. And the winners are: Augustus Gloop, an enormously fat boy whose hobby is eating; Veruca Salt, a spoiled-rotten brat whose parents are wrapped around her little finger; Violet Beauregarde, a dim-witted gum-chewer with the fastest jaws around; Mike Teavee, a toy pistol-toting gangster-in-training who is obsessed with television; and Charlie Bucket",http://books.google.com/books/content?id=ODWNDQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9780230736108,Google Books,The Tyrannosaurus Drip Song (wbd),Julia Donaldson,Macmillan Children's Books,2009-02-01,en,16.0,Children's songs,,,"When a timid little duckbill dinosaur hatches out in a T rex nest he feels decidedly out of place. Poor little Drip: all he wants is a quiet life munching on waterweed . . . But his grisly big sisters are about to discover that Drip is braver than he looks! Including music and lyrics, this fantastic Jurassic adventure is perfect for any child who can't wait to spend their World Book Day voucher. Now everyone can sing along!",http://books.google.com/books/content?id=c0HNPQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9780241003008,Google Books,The Very Hungry Caterpillar,Eric Carle,"Penguin Books, Limited (UK)",1994,en,26.0,Babytime resource,4.0,3.0,Eric Carle's children's classic is the story of a very small and very hungry caterpillar who manages to nibble his way through the pages of this enchanting book.,http://books.google.com/books/content?id=DpGEQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9780307261052,Google Books,I Like Stars,Margaret Wise Brown,Random House Books for Young Readers,2003,en,40.0,Juvenile Nonfiction,,,A simple poem describing all kinds of stars that appear in the night sky.,http://books.google.com/books/content?id=U_btAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9780307261076,Google Books,I Like Bugs,Margaret Wise Brown,Random House Books for Young Readers,1999-06-15,en,36.0,Juvenile Nonfiction,,,"This classic Step 1 Step into Reading all about insects, by the author of the beloved classic Goodnight Moon, makes a perfect gift for nature lovers on Earth Day and every day! Black Bugs. Green Bugs. Fat Bugs. Buggy Bugs. I like bugs! There are all kinds of bugs! Whether they are big or small, whether they fly or crawl, bugs are our friends! Step 1 Readers feature big type and easy words for children who know the alphabet and are eager to begin reading. Rhyme and rhythmic text paired with pictu",http://books.google.com/books/content?id=e9UawiJElNkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9780307261137,Google Books,Bear Hugs,Alyssa Satin Capucilli,Random House Books for Young Readers,2000-09-01,en,36.0,Juvenile Fiction,,,"Baby Bear asks his parents for all kinds of hugs—wet hugs, dry hugs, fly up to the sky hugs—in search of the best hug of all. The Step into Reading series entices brand-new readers with rhyme, rhythm, and repetition. The type is big, the words are easy, and the art is bright and bold.",http://books.google.com/books/content?id=ML6wJB0rmzIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9780375803116,Google Books,"Elmo Says, Achoo!",Sarah Albee,Random House Books for Young Readers,2000,en,36.0,Juvenile Fiction,5.0,1.0,Elmo's repeated sneezes create havoc on Sesame Street.,http://books.google.com/books/content?id=0jqibeMm4wcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9780375812309,Google Books,Happy Alphabet!,Anna Jane Hays,Random House Books for Young Readers,2002-01-22,en,36.0,Juvenile Fiction,,,"This Step 1 Phonics Reader can help start your child on the road to reading success! A series of people, animals, and objects—each beginning with a different letter of the alphabet—gather to celebrate a birthday! Each page presents a letter of the alphabet, and every phrase rhymes with the next to help beginning readers anticipate words! Step 1 Readers feature big type and easy words for children who know the alphabet and are eager to begin reading. Rhyme and rhythmic text paired with picture cl",http://books.google.com/books/content?id=qAAeNSax6aYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9780375812484,Google Books,Jack and Jill and Big Dog Bill: A Phonics Reader,Martha Weston,Random House Books for Young Readers,2002-01-22,en,36.0,Juvenile Fiction,,,"This wintry Step 1 Phonics Reader can start your child on the road to reading success! Jack and Jill and big dog Bill go sledding one snowy winter day. When big dog Bill notices a rabbit on the hill, mayhem ensues. This fun Phonics Reader helps early readers with the use of rhyming, alliteration, and word families. Step 1 Readers feature big type and easy words for children who know the alphabet and are eager to begin reading. Rhyme and rhythmic text paired with picture clues help children decod",http://books.google.com/books/content?id=iw_A_duWMPQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9780375821790,Google Books,Little Witch Learns to Read,Deborah Hautzig,Random House Books for Young Readers,2003-09-23,en,0.0,Juvenile Fiction,,,"Guess who’s learning to read? Little Witch is—and she loves it. But Mother Witch won’t allow nice books about princesses and princes in the house! Little Witch resorts to using invisibility spells and staying up late to read, but it’s starting to wear her out. When the Witch family finally discovers Little Witch’s secret reading habit, she has one last trick to change their minds about books!",http://books.google.com/books/content?id=mkyTEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9780375825330,Google Books,Hungry Plants,Mary Batten,Random House Books for Young Readers,2000,en,56.0,Juvenile Nonfiction,,,"Describes the structure and behavior of various carnivorous plants, including the Venus fly trap, sundew, pitcher plant, and bladderwort.",http://books.google.com/books/content?id=6NQOAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9780375828928,Google Books,Thomas Comes to Breakfast (Thomas & Friends),Rev. W. Awdry,Random House Books for Young Readers,2004-06-22,en,0.0,Juvenile Fiction,,,"Thomas is convinced that he can drive himself! When he heads off on his own, he learns that stopping can be harder than starting. This classic story, originally by the Reverend W Awdry, has been adapted to appeal to the reader who is just beginning to read. Includes fun language building activities.",http://books.google.com/books/content?id=CE2TEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9780375829734,Google Books,Arthur Lost in the Museum,Marc Tolon Brown,Random House Books for Young Readers,2005,en,28.0,Juvenile Nonfiction,5.0,1.0,"Arthur goes with his class on a field trip to the museum, but takes a wrong turn when heading for the bathroom.",http://books.google.com/books/content?id=wX54xg2KDEgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9780375831188,Google Books,Thomas Goes Fishing (Thomas & Friends),Rev. W. Awdry,Random House Books for Young Readers,2005-05-10,en,36.0,Juvenile Fiction,,,"Thomas often sees his young friends standing by the stream fishing. It looks like so much fun that Thomas wants to go fishing too. One day, he runs out of steam and his driver fills his boiler from the stream. And soon, Thomas’ boiler is what the driver is fishing in! In the early 1940s, a loving father crafted a small, blue, wooden engine for his son, Christopher. The stories that this father, the Reverend W Awdry, made up to accompany this wonderful toy were first published in 1945.",http://books.google.com/books/content?id=sBPMXn6if5wC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9780375831652,Google Books,Hog and Dog,Diane Wright Landolf,Random House Books for Young Readers,2005-11-22,en,33.0,Juvenile Fiction,,,"Hog and Dog play tag. Hog zigs. Dog zags. Two friends, a hog and a dog, are good at some sports and bad at others. They cheer each other on no matter what, and they finally find a game they can both enjoy together!",http://books.google.com/books/content?id=0NQpEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
