isbn,title,publisher,publication_date,book_format,reading_age,print_length,item_weight,length,width,height,rating,number_of_reviews,price,best_sellers_rank,customer_reviews
9781445416793,Disney Cars 2 - Copy Colour,parragon,2011-05-07,paperback,toddler,48.0,5.6,10.63,8.46,0.16,2.7,2,,,2.7
9781743637845,School Zone Preschool Little Thinker,hinkler,2014-01-01,paperback,toddler,,7.0,10.87,8.54,0.24,,,,,
9780399208539,The Very Hungry Caterpillar (Rise and Shine),world_of_eric_carle,1981-10-15,,baby,32.0,16.8,12.13,8.56,0.45,4.9,77892,4.65,480,4.9
9781481489799,Super Team,simon_spotlight,2016-12-20,,toddler,16.0,,,,,4.0,1987,5.99,,4.0
9780603566400,Little Miss Complete Collection Books Box Set By Roger Hargreaves,egmont,2012-01-01,paperback,preschool,,79.52,,,,4.8,227,41.77,10363592,4.8
9781445427492,Chuggington - Old Puffer Pete's Firebox,parragon,2011-01-01,paperback,toddler,32.0,2.08,5.39,5.2,0.12,5.0,4,18.99,7395832,5.0
9781534403758,Owlette and the Giving Owl: Ready-to-Read Level 1 (PJ Masks),simon_spotlight,2017-09-05,,preschool,32.0,2.89,9.0,6.0,0.2,4.4,128,4.99,1062698,4.4
9780603564154,Thomas's Busy Day (Thomas & Friends),dean_&_son,2009-01-01,hardcover,toddler,24.0,3.6,6.97,4.45,0.28,,,8.64,12380015,
9782764320761,Batman My Busy Book,phidal,2012-07-01,board_book,toddler,10.0,19.68,9.69,7.95,1.57,4.5,47,336.74,3550965,4.5
9782764349281,"Disney Frozen 2 My First Puzzle Book - Jigsaw Puzzles for kids, 10-page board book, 5 puzzles to enjoy",phidal,2019-10-04,board_book,toddler,10.0,18.24,10.1,10.1,0.8,4.6,183,8.0,80895,4.6
9780916119447,I Can't Sleep (Emergent Reader Science Series Volume Level 2),creative_teaching_press,1994-06-01,paperback,preschool,16.0,1.6,9.0,6.25,0.25,5.0,1,13.27,5231642,5.0
9780439745857,Wild Lives (Guinness World Records),scholastic,2006-03-01,paperback,preadolescence,103.0,7.2,7.5,5.25,0.25,5.0,1,2.1,,5.0
9781743678121,Building Blocks Learning Library Mighty Movers (UK),hinkler,,hardcover,toddler,,25.44,8.39,6.14,3.54,5.0,2,56.71,,5.0
9780241294055,Peppa Pig: Bedtime Little Library [Board book] Author,penguin_random_house,2017-01-12,paperback,preschool,48.0,11.9,3.82,3.66,2.09,4.5,6795,9.54,549899,4.5
9782764334591,"The World of Eric Carle My First Puzzle Book - Jigsaw Puzzles for kids, 10-page board book, 5 puzzles to enjoy",phidal,2023-06-01,board_book,toddler,10.0,16.8,10.1,10.1,0.8,4.4,67,9.99,105998,4.4
9781420659764,Ready•Set•Learn: Preschool Fun from Teacher Created Resources,teacher_created_resources,2007-02-22,paperback,preschool,64.0,3.99,8.8,6.6,0.3,4.4,43,6.48,4096780,4.4
9781409312130,Peppa Pig: Amazing Adventures Sticker Ladybird Books Ltd (2012) Paperback,ladybird,2013-01-01,paperback,toddler,24.0,9.2,12.01,9.37,0.16,4.8,435,16.34,1213413,4.8
9781741219166,Numbers (Slide and Learn Flash Cards),hinkler,1678-01-01,board_book,toddler,,15.5,6.89,4.65,1.65,4.7,4,25.09,,4.7
9781782356196,Snow White (Reading with Phonics),make_believe_ideas,2013-09-01,hardcover,toddler,32.0,4.3,6.97,4.37,0.31,4.6,52,4.92,11972720,4.6
9781570644535,Barney's ABC Animals (Book and Cassette),scholastic,1999-04-01,paperback,preschool,32.0,2.4,8.25,8.25,0.25,3.6,6,17.45,1027852,3.6
9781529045932,The 130-Storey Treehouse (The Treehouse Books) (The Treehouse Series),macmillan_childrens,2021-04-01,,preadolescence,336.0,8.5,7.76,5.12,0.83,4.8,3922,0.99,1974359,4.8
9780794510121,The Complete Book of First Experiences,usborne,2005-01-01,hardcover,toddler,144.0,26.4,8.25,8.25,1.0,4.6,120,15.0,1448558,4.6
9798281706681,Teaching with AI: How Agentic AI is Transforming Education (AI in Education Series),independently_published,2025-04-29,,,178.0,7.5,8.5,5.5,0.41,4.7,75,0.0,491297,4.7
9781781864470,Disney Pixar Cars Magical Story,parragon,2013-04-19,hardcover,toddler,32.0,8.5,8.94,7.2,0.35,,,7.99,6314720,
9782764332405,Paw Patrol Stuck on Stories,phidal,2016-02-15,board_book,toddler,10.0,19.36,9.8,7.9,1.6,4.7,54,9.95,3988229,4.7
9781782356233,Three Little Pigs Touch and Feel (Touch and Feel Tales),make_believe_ideas,2013-09-01,hardcover,toddler,32.0,36.96,6.97,4.37,0.35,4.5,90,4.93,,4.5
9781529019162,The Treehouse Series vol 1-8,macmillan_childrens,2019-02-15,,preadolescence,,17.6,7.87,7.24,5.2,4.8,438,39.01,1814906,4.8
9781786929808,Make Believe Ideas My First Stickers - Things That Go - Sticker Book,make_believe_ideas,,paperback,toddler,,36.96,7.87,5.51,0.39,3.0,1,19.98,12592472,3.0
9781789055504,Disney Frozen 2 Sticker Play Arendelle Activities,autumn,2019-09-21,paperback,preschool,20.0,3.53,10.87,7.87,0.08,4.4,320,7.09,,4.4
9780545017152,Let's Go Visit The School (Barney),scholastic,2007-08-01,paperback,toddler,24.0,2.4,8.25,8.0,0.25,,,12.37,10763597,
