isbn,title,series,year_quarter,q_num,q_since_first,trandate,marked_price,book_original_price,invoice,quantity,price,discount,disc_amt,amount,year,month,first_trandate
9789810745776,Captain Underpants #10: And The Revolt- ing Revenge,captain_underpants,2014Q1,1,0,2014-02-28,69.900,69.90,30002957,20,54.872,70,0,329.229,"2,014",2,2014-01-03
9780545499088,The Adventures of Captain Underpants: Color Edition,captain_underpants,2014Q1,1,0,2014-02-28,99.900,99.90,30002957,20,78.422,70,0,470.529,"2,014",2,2014-01-03
9780545615228,Klutz: The Captain Underpants Super-Silly Sticker Studio,captain_underpants,2014Q2,2,1,2014-04-16,169.900,169.90,30003159,48,133.372,70,0,"1,920.581","2,014",4,2014-01-03
9780545175340,Captain Underpants and the Terrifying Return of Tippy Tinkletrousers,captain_underpants,2014Q2,2,1,2014-04-16,99.900,99.90,30003159,10,78.422,70,0,235.265,"2,014",4,2014-01-03
9780545599320,Captain Underpants #2 HB And The Attack Of The Talking Toilets: Color Edition,captain_underpants,2014Q3,3,2,2014-07-14,99.900,99.90,30003430,20,78.422,75,0,392.108,"2,014",7,2014-01-03
9780545504904,Captain Underpants And The Tyrannical Retaliation Of The Turbo Toilet 2000,captain_underpants,2014Q4,4,3,2014-12-03,99.900,99.90,30003777,20,78.422,65,0,548.951,"2,014",12,2014-01-03
9780545499088,The Adventures of Captain Underpants: Color Edition,captain_underpants,2015Q1,1,4,2015-02-10,99.900,99.90,30003781,10,78.422,65,0,274.436,"2,015",2,2014-01-03
9780545599320,Captain Underpants #2 HB And The Attack Of The Talking Toilets: Color Edition,captain_underpants,2015Q1,1,4,2015-02-10,99.900,99.90,30003781,10,78.422,65,0,274.436,"2,015",2,2014-01-03
9789810745776,Captain Underpants #10: And The Revolt- ing Revenge,captain_underpants,2015Q1,1,4,2015-02-10,69.900,69.90,30003781,15,54.872,65,0,288.095,"2,015",2,2014-01-03
9789810900298,Captain Underpants #11: and the Tyrannic Retaliation of the Turbo Toilet 2000,captain_underpants,2015Q1,1,4,2015-02-10,69.900,69.90,30003781,40,54.872,65,0,768.201,"2,015",2,2014-01-03
9781407139593,Captain Underpants and the Attack of the Talking Toilets,captain_underpants,2015Q2,2,5,2015-04-16,99.900,99.90,30003736,50,25.870,60,0,517.400,"2,015",4,2014-01-03
9789810731540,Captain Underpants #9: and the TerrifyingReturn of Tippy Tinkletrousers,captain_underpants,2015Q3,3,6,2015-07-03,69.900,69.90,30004114,50,54.872,75,0,685.855,"2,015",7,2014-01-03
9789810745776,Captain Underpants #10: And The Revolt- ing Revenge,captain_underpants,2015Q3,3,6,2015-07-03,69.900,69.90,30004114,50,54.872,75,0,685.855,"2,015",7,2014-01-03
9780545599320,Captain Underpants #2 HB And The Attack Of The Talking Toilets: Color Edition,captain_underpants,2015Q3,3,6,2015-07-03,99.900,99.90,30004114,30,78.422,75,0,588.122,"2,015",7,2014-01-03
9789810900298,Captain Underpants #11: and the Tyrannic Retaliation of the Turbo Toilet 2000,captain_underpants,2015Q3,3,6,2015-07-03,69.900,69.90,30004114,50,54.872,75,0,685.855,"2,015",7,2014-01-03
9780545175340,Captain Underpants and the Terrifying Return of Tippy Tinkletrousers,captain_underpants,2015Q3,3,6,2015-07-10,99.900,99.90,30004020,30,78.422,75,0,588.122,"2,015",7,2014-01-03
9780545694704,Captain Underpants #3 HB And the Invasion of the Incredibly Naughty,captain_underpants,2015Q3,3,6,2015-07-10,99.900,99.90,30004020,30,78.422,75,0,588.122,"2,015",7,2014-01-03
9780545694704,Captain Underpants #3 HB And the Invasion of the Incredibly Naughty,captain_underpants,2015Q4,4,7,2015-11-28,99.900,99.90,30004452,10,78.422,65,0,274.436,"2,015",11,2014-01-03
9780545499088,The Adventures of Captain Underpants: Color Edition,captain_underpants,2015Q4,4,7,2015-12-30,99.900,99.90,30004296,20,78.422,65,0,548.951,"2,015",12,2014-01-03
9780545870115,Captain Underpants: Color Collection (Book 1-3),captain_underpants,2015Q4,4,7,2015-12-30,389.000,299.00,30004296,20,235.265,65,0,"1,646.852","2,015",12,2014-01-03
9789810745776,Captain Underpants #10: And The Revolt- ing Revenge,captain_underpants,2015Q4,4,7,2015-12-30,69.900,69.90,30004296,15,54.872,65,0,288.095,"2,015",12,2014-01-03
9781447279808,Andy Griffiths: The 26-Storey Treehouse,andy_griffiths,2016Q1,1,8,2016-02-15,89.000,95.00,30004462,10,77.870,65,0,272.480,"2,016",2,2014-01-03
9781447281580,Andy Griffiths: The 39-Storey Treehouse,andy_griffiths,2016Q1,1,8,2016-02-15,89.000,95.00,30004462,40,77.870,65,0,"1,090.180","2,016",2,2014-01-03
9781447279785,Andy Griffiths: The 13-Storey Treehouse (Export Edt),andy_griffiths,2016Q1,1,8,2016-02-15,89.000,95.00,30004462,10,77.870,65,0,272.480,"2,016",2,2014-01-03
9781447287575,Andy Griffiths: The 52-Storey Treehouse,andy_griffiths,2016Q1,1,8,2016-02-15,89.000,95.00,30004462,30,77.870,65,0,817.570,"2,016",2,2014-01-03
9789810900298,Captain Underpants #11: and the Tyrannic Retaliation of the Turbo Toilet 2000,captain_underpants,2016Q2,2,9,2016-05-16,69.900,69.90,30004486,20,54.872,65,0,384.101,"2,016",5,2014-01-03
9789810900298,Captain Underpants #11: and the Tyrannic Retaliation of the Turbo Toilet 2000,captain_underpants,2016Q2,2,9,2016-06-10,69.900,69.90,30004502,50,54.872,75,0,685.855,"2,016",6,2014-01-03
9789810745776,Captain Underpants #10: And The Revolt- ing Revenge,captain_underpants,2016Q2,2,9,2016-06-10,69.900,69.90,30004502,50,54.872,75,0,685.855,"2,016",6,2014-01-03
9780545499088,The Adventures of Captain Underpants: Color Edition,captain_underpants,2016Q2,2,9,2016-06-10,99.900,99.90,30004502,30,78.422,75,0,588.122,"2,016",6,2014-01-03
9789810731540,Captain Underpants #9: and the TerrifyingReturn of Tippy Tinkletrousers,captain_underpants,2016Q2,2,9,2016-06-10,69.900,69.90,30004502,50,54.872,75,0,685.855,"2,016",6,2014-01-03
9780545694704,Captain Underpants #3 HB And the Invasion of the Incredibly Naughty,captain_underpants,2016Q3,3,10,2016-07-05,99.900,99.90,30004778,30,78.422,75,0,588.122,"2,016",7,2014-01-03
9781742971414,Billie B Brown #15: The Copycat Kid,cat_kid,2016Q3,3,10,2016-09-01,49.000,49.00,30004786,30,58.080,75,0,435.600,"2,016",9,2014-01-03
9781447287575,Andy Griffiths: The 52-Storey Treehouse,andy_griffiths,2016Q3,3,10,2016-09-13,89.000,95.00,30004743,40,77.870,70,0,934.440,"2,016",9,2014-01-03
9781447287599,Andy Griffiths: The 65-Storey Treehouse,andy_griffiths,2016Q3,3,10,2016-09-13,89.000,95.00,30004743,49,77.870,70,0,"1,144.650","2,016",9,2014-01-03
9789810900298,Captain Underpants #11: and the Tyrannic Retaliation of the Turbo Toilet 2000,captain_underpants,2016Q4,4,11,2016-11-08,69.900,69.90,30004907,12,54.872,65,0,230.476,"2,016",11,2014-01-03
9780545499088,The Adventures of Captain Underpants: Color Edition,captain_underpants,2016Q4,4,11,2016-11-08,99.900,99.90,30004907,24,78.422,65,0,658.772,"2,016",11,2014-01-03
9780545504928,Captain Underpants and the Sensational Saga of Sir Stinks-A-Lot,captain_underpants,2016Q4,4,11,2016-11-08,99.900,99.90,30004907,20,78.422,65,0,548.951,"2,016",11,2014-01-03
9780545871877,Captain Underpants and the Perilous Plot of Professor Poopypants,captain_underpants,2016Q4,4,11,2016-11-08,99.900,99.90,30004907,12,78.422,65,0,329.386,"2,016",11,2014-01-03
9789810731540,Captain Underpants #9: and the TerrifyingReturn of Tippy Tinkletrousers,captain_underpants,2016Q4,4,11,2016-11-08,69.900,69.90,30004907,12,54.872,65,0,230.476,"2,016",11,2014-01-03
9789810745776,Captain Underpants #10: And The Revolt- ing Revenge,captain_underpants,2016Q4,4,11,2016-11-08,69.900,69.90,30004907,24,54.872,65,0,460.952,"2,016",11,2014-01-03
9780545581608,Dog Man HB (OP),dog_man,2016Q4,4,11,2016-12-01,99.900,99.90,30004900,20,78.422,65,0,548.951,"2,016",12,2014-01-03
9780545870115,Captain Underpants: Color Collection (Book 1-3),captain_underpants,2016Q4,4,11,2016-12-01,389.000,299.00,30004900,12,235.265,65,0,988.080,"2,016",12,2014-01-03
9780545694704,Captain Underpants #3 HB And the Invasion of the Incredibly Naughty,captain_underpants,2016Q4,4,11,2016-12-01,99.900,99.90,30004900,12,78.422,65,0,329.386,"2,016",12,2014-01-03
9780545175340,Captain Underpants and the Terrifying Return of Tippy Tinkletrousers,captain_underpants,2017Q1,1,12,2017-02-28,99.900,99.90,30005133,20,78.422,65,0,548.951,"2,017",2,2014-01-03
9780545504904,Captain Underpants And The Tyrannical Retaliation Of The Turbo Toilet 2000,captain_underpants,2017Q1,1,12,2017-02-28,99.900,99.90,30005133,20,78.422,65,0,548.951,"2,017",2,2014-01-03
9780545599320,Captain Underpants #2 HB And The Attack Of The Talking Toilets: Color Edition,captain_underpants,2017Q1,1,12,2017-02-28,99.900,99.90,30005133,20,78.422,65,0,548.951,"2,017",2,2014-01-03
9780545581608,Dog Man HB (OP),dog_man,2017Q1,1,12,2017-02-28,99.900,99.90,30005135,20,78.422,65,0,548.951,"2,017",2,2014-01-03
9780545694704,Captain Underpants #3 HB And the Invasion of the Incredibly Naughty,captain_underpants,2017Q1,1,12,2017-02-28,99.900,99.90,30005133,20,78.422,65,0,548.951,"2,017",2,2014-01-03
9780545175364,Captain Underpants and the Revolting Revenge of the Radioactive Robo-Boxers,captain_underpants,2017Q1,1,12,2017-02-28,99.900,99.90,30005133,20,78.422,65,0,548.951,"2,017",2,2014-01-03
9780545871877,Captain Underpants and the Perilous Plot of Professor Poopypants,captain_underpants,2017Q1,1,12,2017-03-10,99.900,99.90,30005137,20,78.422,65,0,548.951,"2,017",3,2014-01-03
9780545504928,Captain Underpants and the Sensational Saga of Sir Stinks-A-Lot,captain_underpants,2017Q1,1,12,2017-03-10,99.900,99.90,30005137,20,78.422,65,0,548.951,"2,017",3,2014-01-03
9781447281580,Andy Griffiths: The 39-Storey Treehouse,andy_griffiths,2017Q1,1,12,2017-03-24,89.000,95.00,30005159,56,21.620,0,0,"1,210.720","2,017",3,2014-01-03
9781447279785,Andy Griffiths: The 13-Storey Treehouse (Export Edt),andy_griffiths,2017Q1,1,12,2017-03-24,89.000,95.00,30005159,80,21.620,0,0,"1,729.600","2,017",3,2014-01-03
9781509833757,Andy Griffiths: The 78-Storey Treehouse (Export Edt),andy_griffiths,2017Q1,1,12,2017-03-24,89.000,95.00,30005159,224,21.620,0,0,"4,842.880","2,017",3,2014-01-03
9781447287575,Andy Griffiths: The 52-Storey Treehouse,andy_griffiths,2017Q1,1,12,2017-03-24,89.000,95.00,30005159,62,21.620,0,0,"1,340.440","2,017",3,2014-01-03
9781447287599,Andy Griffiths: The 65-Storey Treehouse,andy_griffiths,2017Q1,1,12,2017-03-24,89.000,95.00,30005159,56,21.620,0,0,"1,210.720","2,017",3,2014-01-03
9781447279808,Andy Griffiths: The 26-Storey Treehouse,andy_griffiths,2017Q1,1,12,2017-03-24,89.000,95.00,30005159,56,21.620,0,0,"1,210.720","2,017",3,2014-01-03
9789810745776,Captain Underpants #10: And The Revolt- ing Revenge,captain_underpants,2017Q2,2,13,2017-06-06,69.900,69.90,30005254,38,54.872,75,0,521.240,"2,017",6,2014-01-03
9780545504928,Captain Underpants and the Sensational Saga of Sir Stinks-A-Lot,captain_underpants,2017Q2,2,13,2017-06-06,99.900,99.90,30005252,20,78.422,75,0,392.108,"2,017",6,2014-01-03
9789810731540,Captain Underpants #9: and the TerrifyingReturn of Tippy Tinkletrousers,captain_underpants,2017Q2,2,13,2017-06-06,69.900,69.90,30005252,2,54.872,75,0,27.397,"2,017",6,2014-01-03
9789810731540,Captain Underpants #9: and the TerrifyingReturn of Tippy Tinkletrousers,captain_underpants,2017Q2,2,13,2017-06-06,69.900,69.90,30005254,34,54.872,75,0,466.369,"2,017",6,2014-01-03
