isbn,title,series,year_quarter,format,channel,q_num,q_since_first,avg_discount_rate,print_length,item_weight,length,width,height,rating,price,quantity
9789814947657,Dog Man (PB) #10 : Mothering Heights,dog_man,2022Q3,paperback,consignment,3,3,0,,,,,,,,174
9789814947657,Dog Man (PB) #10 : Mothering Heights,dog_man,2021Q4,paperback,retail,4,0,14.1,,,,,,,,122
9789814947657,Dog Man (PB) #10 : Mothering Heights,dog_man,2024Q3,paperback,bookfair - roadshow,3,11,43.73,,,,,,,,114
9789814947657,Dog Man (PB) #10 : Mothering Heights,dog_man,2023Q3,paperback,bookfair - roadshow,3,7,0,,,,,,,,104
9789814947657,Dog Man (PB) #10 : Mothering Heights,dog_man,2023Q4,paperback,retail,4,8,0.57,,,,,,,,53
9789814947657,Dog Man (PB) #10 : Mothering Heights,dog_man,2022Q2,paperback,retail,2,2,6.2,,,,,,,,50
9789814947657,Dog Man (PB) #10 : Mothering Heights,dog_man,2025Q2,paperback,retail,2,14,0,,,,,,,,37
9789814947657,Dog Man (PB) #10 : Mothering Heights,dog_man,2024Q4,paperback,retail,4,12,0,,,,,,,,33
9789814947657,Dog Man (PB) #10 : Mothering Heights,dog_man,2022Q1,paperback,retail,1,1,5.63,,,,,,,,32
9789814947657,Dog Man (PB) #10 : Mothering Heights,dog_man,2024Q2,paperback,retail,2,10,1.25,,,,,,,,32
9789814947657,Dog Man (PB) #10 : Mothering Heights,dog_man,2023Q3,paperback,retail,3,7,4.52,,,,,,,,31
9789814947657,Dog Man (PB) #10 : Mothering Heights,dog_man,2025Q1,paperback,retail,1,13,0,,,,,,,,28
9789814947657,Dog Man (PB) #10 : Mothering Heights,dog_man,2024Q1,paperback,retail,1,9,0.38,,,,,,,,26
9789814947657,Dog Man (PB) #10 : Mothering Heights,dog_man,2022Q3,paperback,retail,3,3,4,,,,,,,,25
9789814947657,Dog Man (PB) #10 : Mothering Heights,dog_man,2024Q3,paperback,retail,3,11,0,,,,,,,,21
9789814947657,Dog Man (PB) #10 : Mothering Heights,dog_man,2025Q3,paperback,retail,3,15,1.56,,,,,,,,16
9789814947657,Dog Man (PB) #10 : Mothering Heights,dog_man,2025Q2,paperback,wholesale,2,14,50,,,,,,,,15
9789814947657,Dog Man (PB) #10 : Mothering Heights,dog_man,2022Q4,paperback,retail,4,4,7.5,,,,,,,,12
9789814947657,Dog Man (PB) #10 : Mothering Heights,dog_man,2023Q2,paperback,retail,2,6,3.64,,,,,,,,11
9789814947657,Dog Man (PB) #10 : Mothering Heights,dog_man,2021Q4,paperback,wholesale,4,0,44.25,,,,,,,,11
9789814947657,Dog Man (PB) #10 : Mothering Heights,dog_man,2024Q3,paperback,wholesale,3,11,50,,,,,,,,10
9789814947657,Dog Man (PB) #10 : Mothering Heights,dog_man,2024Q4,paperback,bookfair - school,4,12,0,,,,,,,,8
9789814947657,Dog Man (PB) #10 : Mothering Heights,dog_man,2023Q4,paperback,consignment,4,8,33.17,,,,,,,,6
9789814947657,Dog Man (PB) #10 : Mothering Heights,dog_man,2021Q4,paperback,consignment,4,0,0,,,,,,,,5
9789814947657,Dog Man (PB) #10 : Mothering Heights,dog_man,2023Q3,paperback,consignment,3,7,34.75,,,,,,,,5
9789814947657,Dog Man (PB) #10 : Mothering Heights,dog_man,2025Q1,paperback,bookfair - school,1,13,20,,,,,,,,5
