barcode2,Current_quarter,Quarter_num,Previous_quarter_qty,Current_quarter_qty,Avg_discount,First_day,Next_Q1,Next_Q2,Next_Q3,Next_Q4
000640,2019Q2,2,0,49,-inf,2019-06-18,0,0,0,0
000640,2019Q3,3,49,0,,2019-06-18,0,0,0,86
000640,2019Q4,4,0,0,,2019-06-18,0,0,86,
000640,2020Q1,1,0,0,,2019-06-18,0,86,,
000640,2020Q2,2,0,0,,2019-06-18,86,,,
000640,2020Q3,3,0,86,-inf,2019-06-18,,,,
000719,2020Q4,4,0,435,-inf,2020-10-06,1,,,
000719,2021Q1,1,435,1,-inf,2020-10-06,,,,
000728,2021Q1,1,0,191,-inf,2021-02-18,,,,
042799230008,2015Q3,3,0,7,0.0,2015-07-17,25,15,12,16
042799230008,2015Q4,4,7,25,1.2500000000000002,2015-07-17,15,12,16,10
042799230008,2016Q1,1,25,15,8.000000000000002,2015-07-17,12,16,10,9
042799230008,2016Q2,2,15,12,7.5,2015-07-17,16,10,9,8
042799230008,2016Q3,3,12,16,1.25,2015-07-17,10,9,8,3
042799230008,2016Q4,4,16,10,0.0,2015-07-17,9,8,3,6
042799230008,2017Q1,1,10,9,8.88888888888889,2015-07-17,8,3,6,7
042799230008,2017Q2,2,9,8,0.0,2015-07-17,3,6,7,1
042799230008,2017Q3,3,8,3,6.666666666666667,2015-07-17,6,7,1,1
042799230008,2017Q4,4,3,6,8.333333333333334,2015-07-17,7,1,1,9
042799230008,2018Q1,1,6,7,0.0,2015-07-17,1,1,9,3
042799230008,2018Q2,2,7,1,0.0,2015-07-17,1,9,3,4
042799230008,2018Q3,3,1,1,0.0,2015-07-17,9,3,4,2
042799230008,2018Q4,4,1,9,0.5555555555555558,2015-07-17,3,4,2,1
042799230008,2019Q1,1,9,3,0.0,2015-07-17,4,2,1,0
042799230008,2019Q2,2,3,4,0.0,2015-07-17,2,1,0,4
042799230008,2019Q3,3,4,2,10.0,2015-07-17,1,0,4,4
042799230008,2019Q4,4,2,1,0.0,2015-07-17,0,4,4,2
042799230008,2020Q1,1,1,0,,2015-07-17,4,4,2,3
042799230008,2020Q2,2,0,4,50.0,2015-07-17,4,2,3,1
042799230008,2020Q3,3,4,4,0.0,2015-07-17,2,3,1,7
042799230008,2020Q4,4,4,2,0.0,2015-07-17,3,1,7,13
042799230008,2021Q1,1,2,3,0.0,2015-07-17,1,7,13,2
042799230008,2021Q2,2,3,1,0.0,2015-07-17,7,13,2,12
042799230008,2021Q3,3,1,7,35.714285714285715,2015-07-17,13,2,12,1
042799230008,2021Q4,4,7,13,19.96891996891997,2015-07-17,2,12,1,3
042799230008,2022Q1,1,13,2,20.0,2015-07-17,12,1,3,3
042799230008,2022Q2,2,2,12,8.333333333333334,2015-07-17,1,3,3,1
042799230008,2022Q3,3,12,1,0.0,2015-07-17,3,3,1,1
042799230008,2022Q4,4,1,3,0.0,2015-07-17,3,1,1,0
042799230008,2023Q1,1,3,3,0.0,2015-07-17,1,1,0,1
042799230008,2023Q2,2,3,1,0.0,2015-07-17,1,0,1,
042799230008,2023Q3,3,1,1,0.0,2015-07-17,0,1,,
042799230008,2023Q4,4,1,0,,2015-07-17,1,,,
042799230008,2024Q1,1,0,1,0.0,2015-07-17,,,,
042799240717,2014Q1,1,0,7,2.8571428571428568,2014-02-09,5,8,8,1
042799240717,2014Q2,2,7,5,0.0,2014-02-09,8,8,1,7
042799240717,2014Q3,3,5,8,0.0,2014-02-09,8,1,7,5
042799240717,2014Q4,4,8,8,0.0,2014-02-09,1,7,5,6
042799240717,2015Q1,1,8,1,0.0,2014-02-09,7,5,6,0
042799240717,2015Q2,2,1,7,2.8571428571428568,2014-02-09,5,6,0,0
042799240717,2015Q3,3,7,5,0.0,2014-02-09,6,0,0,0
042799240717,2015Q4,4,5,6,3.3333333333333326,2014-02-09,0,0,0,0
042799240717,2016Q1,1,6,0,,2014-02-09,0,0,0,0
042799240717,2016Q2,2,0,0,,2014-02-09,0,0,0,1
042799240717,2016Q3,3,0,0,,2014-02-09,0,0,1,
042799240717,2016Q4,4,0,0,,2014-02-09,0,1,,
042799240717,2017Q1,1,0,0,,2014-02-09,1,,,
042799240717,2017Q2,2,0,1,0.0,2014-02-09,,,,
042799240731,2014Q1,1,0,8,2.4999999999999996,2014-01-29,7,6,7,1
042799240731,2014Q2,2,8,7,0.0,2014-01-29,6,7,1,5
042799240731,2014Q3,3,7,6,3.3333333333333326,2014-01-29,7,1,5,5
042799240731,2014Q4,4,6,7,0.0,2014-01-29,1,5,5,3
042799240731,2015Q1,1,7,1,0.0,2014-01-29,5,5,3,
042799240731,2015Q2,2,1,5,0.0,2014-01-29,5,3,,
042799240731,2015Q3,3,5,5,1.9999999999999996,2014-01-29,3,,,
042799240731,2015Q4,4,5,3,0.0,2014-01-29,,,,
042799246740,2014Q4,4,0,24,-4.525745257452574,2014-11-22,23,15,21,25
042799246740,2015Q1,1,24,23,-6.24955814775539,2014-11-22,15,21,25,23
042799246740,2015Q2,2,23,15,-7.768744354110207,2014-11-22,21,25,23,29
042799246740,2015Q3,3,15,21,-5.296167247386758,2014-11-22,25,23,29,8
042799246740,2015Q4,4,21,25,1.2,2014-11-22,23,29,8,8
042799246740,2016Q1,1,25,23,9.565217391304348,2014-11-22,29,8,8,11
042799246740,2016Q2,2,23,29,1.7241379310344827,2014-11-22,8,8,11,10
042799246740,2016Q3,3,29,8,2.5000000000000004,2014-11-22,8,11,10,13
042799246740,2016Q4,4,8,8,3.75,2014-11-22,11,10,13,18
042799246740,2017Q1,1,8,11,6.363636363636363,2014-11-22,10,13,18,4
042799246740,2017Q2,2,11,10,9.0,2014-11-22,13,18,4,13
042799246740,2017Q3,3,10,13,0.0,2014-11-22,18,4,13,0
042799246740,2017Q4,4,13,18,3.529411764705883,2014-11-22,4,13,0,0
042799246740,2018Q1,1,18,4,0.0,2014-11-22,13,0,0,0
042799246740,2018Q2,2,4,13,1.5384615384615388,2014-11-22,0,0,0,0
042799246740,2018Q3,3,13,0,,2014-11-22,0,0,0,0
042799246740,2018Q4,4,0,0,,2014-11-22,0,0,0,11
042799246740,2019Q1,1,0,0,,2014-11-22,0,0,11,6
042799246740,2019Q2,2,0,0,,2014-11-22,0,11,6,13
042799246740,2019Q3,3,0,0,,2014-11-22,11,6,13,19
042799246740,2019Q4,4,0,11,0.0,2014-11-22,6,13,19,6
042799246740,2020Q1,1,11,6,12.506775067750675,2014-11-22,13,19,6,1
042799246740,2020Q2,2,6,13,3.8461538461538463,2014-11-22,19,6,1,1
042799246740,2020Q3,3,13,19,5.5270289545000715,2014-11-22,6,1,1,
042799246740,2020Q4,4,19,6,0.0,2014-11-22,1,1,,
042799246740,2021Q1,1,6,1,0.0,2014-11-22,1,,,
042799246740,2021Q2,2,1,1,0.0,2014-11-22,,,,
042799261682,2014Q1,1,0,7,0.0,2014-02-21,12,13,16,8
042799261682,2014Q2,2,7,12,1.6666666666666667,2014-02-21,13,16,8,0
042799261682,2014Q3,3,12,13,1.5384615384615385,2014-02-21,16,8,0,4
042799261682,2014Q4,4,13,16,0.0,2014-02-21,8,0,4,11
042799261682,2015Q1,1,16,8,0.0,2014-02-21,0,4,11,10
042799261682,2015Q2,2,8,0,,2014-02-21,4,11,10,5
042799261682,2015Q3,3,0,4,0.0,2014-02-21,11,10,5,2
042799261682,2015Q4,4,4,11,2.727272727272728,2014-02-21,10,5,2,6
042799261682,2016Q1,1,11,10,12.000000000000002,2014-02-21,5,2,6,3
042799261682,2016Q2,2,10,5,6.000000000000001,2014-02-21,2,6,3,5
042799261682,2016Q3,3,5,2,0.0,2014-02-21,6,3,5,2
042799261682,2016Q4,4,2,6,0.0,2014-02-21,3,5,2,2
042799261682,2017Q1,1,6,3,0.0,2014-02-21,5,2,2,3
042799261682,2017Q2,2,3,5,0.0,2014-02-21,2,2,3,5
042799261682,2017Q3,3,5,2,0.0,2014-02-21,2,3,5,0
042799261682,2017Q4,4,2,2,0.0,2014-02-21,3,5,0,6
042799261682,2018Q1,1,2,3,0.0,2014-02-21,5,0,6,1
042799261682,2018Q2,2,3,5,16.666666666666668,2014-02-21,0,6,1,1
042799261682,2018Q3,3,5,0,,2014-02-21,6,1,1,0
042799261682,2018Q4,4,0,6,0.0,2014-02-21,1,1,0,1
042799261682,2019Q1,1,6,1,0.0,2014-02-21,1,0,1,0
042799261682,2019Q2,2,1,1,0.0,2014-02-21,0,1,0,0
042799261682,2019Q3,3,1,0,,2014-02-21,1,0,0,0
042799261682,2019Q4,4,0,1,0.0,2014-02-21,0,0,0,0
042799261682,2020Q1,1,1,0,,2014-02-21,0,0,0,0
042799261682,2020Q2,2,0,0,,2014-02-21,0,0,0,1
042799261682,2020Q3,3,0,0,,2014-02-21,0,0,1,1
042799261682,2020Q4,4,0,0,,2014-02-21,0,1,1,
042799261682,2021Q1,1,0,0,,2014-02-21,1,1,,
042799261682,2021Q2,2,0,1,10.000000000000005,2014-02-21,1,,,
042799261682,2021Q3,3,1,1,0.0,2014-02-21,,,,
042799717271,2014Q1,1,0,1,0.0,2014-02-10,4,3,7,3
042799717271,2014Q2,2,1,4,2.5000000000000018,2014-02-10,3,7,3,5
042799717271,2014Q3,3,4,3,0.0,2014-02-10,7,3,5,6
042799717271,2014Q4,4,3,7,1.4285714285714295,2014-02-10,3,5,6,0
042799717271,2015Q1,1,7,3,0.0,2014-02-10,5,6,0,2
042799717271,2015Q2,2,3,5,0.0,2014-02-10,6,0,2,0
042799717271,2015Q3,3,5,6,0.0,2014-02-10,0,2,0,0
042799717271,2015Q4,4,6,0,,2014-02-10,2,0,0,1
042799717271,2016Q1,1,0,2,9.999999999999998,2014-02-10,0,0,1,
042799717271,2016Q2,2,2,0,,2014-02-10,0,1,,
042799717271,2016Q3,3,0,0,,2014-02-10,1,,,
042799717271,2016Q4,4,0,1,5.0000000000000036,2014-02-10,,,,
042799746394,2014Q1,1,0,27,0.7407407407407409,2014-01-01,93,13,1,
042799746394,2014Q2,2,27,93,4.298245614035088,2014-01-01,13,1,,
042799746394,2014Q3,3,93,13,7.272727272727274,2014-01-01,1,,,
042799746394,2014Q4,4,13,1,0.0,2014-01-01,,,,
042799747162,2014Q1,1,0,7,4.2857142857142865,2014-01-26,0,7,0,0
042799747162,2014Q2,2,7,0,,2014-01-26,7,0,0,0
042799747162,2014Q3,3,0,7,0.0,2014-01-26,0,0,0,3
042799747162,2014Q4,4,7,0,,2014-01-26,0,0,3,1
042799747162,2015Q1,1,0,0,,2014-01-26,0,3,1,3
042799747162,2015Q2,2,0,0,,2014-01-26,3,1,3,4
042799747162,2015Q3,3,0,3,0.0,2014-01-26,1,3,4,6
042799747162,2015Q4,4,3,1,0.0,2014-01-26,3,4,6,7
042799747162,2016Q1,1,1,3,10.000000000000002,2014-01-26,4,6,7,4
042799747162,2016Q2,2,3,4,1.2500000000000007,2014-01-26,6,7,4,16
042799747162,2016Q3,3,4,6,0.0,2014-01-26,7,4,16,3
042799747162,2016Q4,4,6,7,0.0,2014-01-26,4,16,3,4
042799747162,2017Q1,1,7,4,0.0,2014-01-26,16,3,4,1
042799747162,2017Q2,2,4,16,30.424107142857142,2014-01-26,3,4,1,1
042799747162,2017Q3,3,16,3,17.658730158730158,2014-01-26,4,1,1,0
042799747162,2017Q4,4,3,4,0.0,2014-01-26,1,1,0,1
042799747162,2018Q1,1,4,1,52.976190476190474,2014-01-26,1,0,1,
042799747162,2018Q2,2,1,1,52.976190476190474,2014-01-26,0,1,,
042799747162,2018Q3,3,1,0,,2014-01-26,1,,,
042799747162,2018Q4,4,0,1,50.0,2014-01-26,,,,
042799768518,2014Q1,1,0,9,0.0,2014-01-28,2,6,13,0
042799768518,2014Q2,2,9,2,0.0,2014-01-28,6,13,0,2
042799768518,2014Q3,3,2,6,0.0,2014-01-28,13,0,2,0
042799768518,2014Q4,4,6,13,0.0,2014-01-28,0,2,0,0
042799768518,2015Q1,1,13,0,,2014-01-28,2,0,0,0
042799768518,2015Q2,2,0,2,2.5000000000000018,2014-01-28,0,0,0,0
042799768518,2015Q3,3,2,0,,2014-01-28,0,0,0,0
042799768518,2015Q4,4,0,0,,2014-01-28,0,0,0,0
042799768518,2016Q1,1,0,0,,2014-01-28,0,0,0,0
042799768518,2016Q2,2,0,0,,2014-01-28,0,0,0,0
042799768518,2016Q3,3,0,0,,2014-01-28,0,0,0,1
042799768518,2016Q4,4,0,0,,2014-01-28,0,0,1,6
042799768518,2017Q1,1,0,0,,2014-01-28,0,1,6,2
042799768518,2017Q2,2,0,0,,2014-01-28,1,6,2,2
042799768518,2017Q3,3,0,1,0.0,2014-01-28,6,2,2,1
042799768518,2017Q4,4,1,6,0.0,2014-01-28,2,2,1,1
042799768518,2018Q1,1,6,2,0.0,2014-01-28,2,1,1,5
042799768518,2018Q2,2,2,2,0.0,2014-01-28,1,1,5,6
042799768518,2018Q3,3,2,1,0.0,2014-01-28,1,5,6,4
042799768518,2018Q4,4,1,1,19.999999999999996,2014-01-28,5,6,4,2
042799768518,2019Q1,1,1,5,0.0,2014-01-28,6,4,2,0
042799768518,2019Q2,2,5,6,0.0,2014-01-28,4,2,0,0
042799768518,2019Q3,3,6,4,4.999999999999999,2014-01-28,2,0,0,0
042799768518,2019Q4,4,4,2,0.0,2014-01-28,0,0,0,6
042799768518,2020Q1,1,2,0,,2014-01-28,0,0,6,5
042799768518,2020Q2,2,0,0,,2014-01-28,0,6,5,6
042799768518,2020Q3,3,0,0,,2014-01-28,6,5,6,1
042799768518,2020Q4,4,0,6,0.0,2014-01-28,5,6,1,15
042799768518,2021Q1,1,6,5,3.999999999999999,2014-01-28,6,1,15,3
042799768518,2021Q2,2,5,6,5.000000000000001,2014-01-28,1,15,3,2
042799768518,2021Q3,3,6,1,0.0,2014-01-28,15,3,2,
042799768518,2021Q4,4,1,15,3.999999999999999,2014-01-28,3,2,,
042799768518,2022Q1,1,15,3,13.33333333333333,2014-01-28,2,,,
042799768518,2022Q2,2,3,2,19.999999999999996,2014-01-28,,,,
042799778098,2014Q1,1,0,13,1.5384615384615385,2014-01-05,10,7,19,7
042799778098,2014Q2,2,13,10,0.0,2014-01-05,7,19,7,4
042799778098,2014Q3,3,10,7,2.857142857142857,2014-01-05,19,7,4,2
042799778098,2014Q4,4,7,19,1.0526315789473684,2014-01-05,7,4,2,3
042799778098,2015Q1,1,19,7,0.0,2014-01-05,4,2,3,1
