barcode2,Current_quarter,Quarter_num,Previous_quarter_qty,Current_quarter_qty,Avg_discount,First_day,Next_Q1,Next_Q2,Next_Q3,Next_Q4
042799230008,2015Q3,3,0,4,0.0,2015-07-21,0,0,0,4
042799230008,2015Q4,4,4,0,,2015-07-21,0,0,4,0
042799230008,2016Q1,1,0,0,,2015-07-21,0,4,0,0
042799230008,2016Q2,2,0,0,,2015-07-21,4,0,0,0
042799230008,2016Q3,3,0,4,0.0,2015-07-21,0,0,0,3
042799230008,2016Q4,4,4,0,,2015-07-21,0,0,3,0
042799230008,2017Q1,1,0,0,,2015-07-21,0,3,0,0
042799230008,2017Q2,2,0,0,,2015-07-21,3,0,0,0
042799230008,2017Q3,3,0,3,0.0,2015-07-21,0,0,0,0
042799230008,2017Q4,4,3,0,,2015-07-21,0,0,0,0
042799230008,2018Q1,1,0,0,,2015-07-21,0,0,0,0
042799230008,2018Q2,2,0,0,,2015-07-21,0,0,0,0
042799230008,2018Q3,3,0,0,,2015-07-21,0,0,0,0
042799230008,2018Q4,4,0,0,,2015-07-21,0,0,0,0
042799230008,2019Q1,1,0,0,,2015-07-21,0,0,0,0
042799230008,2019Q2,2,0,0,,2015-07-21,0,0,0,0
042799230008,2019Q3,3,0,0,,2015-07-21,0,0,0,0
042799230008,2019Q4,4,0,0,,2015-07-21,0,0,0,0
042799230008,2020Q1,1,0,0,,2015-07-21,0,0,0,0
042799230008,2020Q2,2,0,0,,2015-07-21,0,0,0,0
042799230008,2020Q3,3,0,0,,2015-07-21,0,0,0,0
042799230008,2020Q4,4,0,0,,2015-07-21,0,0,0,0
042799230008,2021Q1,1,0,0,,2015-07-21,0,0,0,0
042799230008,2021Q2,2,0,0,,2015-07-21,0,0,0,0
042799230008,2021Q3,3,0,0,,2015-07-21,0,0,0,0
042799230008,2021Q4,4,0,0,,2015-07-21,0,0,0,0
042799230008,2022Q1,1,0,0,,2015-07-21,0,0,0,0
042799230008,2022Q2,2,0,0,,2015-07-21,0,0,0,0
042799230008,2022Q3,3,0,0,,2015-07-21,0,0,0,0
042799230008,2022Q4,4,0,0,,2015-07-21,0,0,0,0
042799230008,2023Q1,1,0,0,,2015-07-21,0,0,0,0
042799230008,2023Q2,2,0,0,,2015-07-21,0,0,0,0
042799230008,2023Q3,3,0,0,,2015-07-21,0,0,0,0
042799230008,2023Q4,4,0,0,,2015-07-21,0,0,0,0
042799230008,2024Q1,1,0,0,,2015-07-21,0,0,0,0
042799230008,2024Q2,2,0,0,,2015-07-21,0,0,0,16
042799230008,2024Q3,3,0,0,,2015-07-21,0,0,16,
042799230008,2024Q4,4,0,0,,2015-07-21,0,16,,
042799230008,2025Q1,1,0,0,,2015-07-21,16,,,
042799230008,2025Q2,2,0,16,75.80176767676768,2015-07-21,,,,
042799246740,2015Q3,3,0,4,0.0,2015-07-21,0,0,0,6
042799246740,2015Q4,4,4,0,,2015-07-21,0,0,6,0
042799246740,2016Q1,1,0,0,,2015-07-21,0,6,0,0
042799246740,2016Q2,2,0,0,,2015-07-21,6,0,0,0
042799246740,2016Q3,3,0,6,0.0,2015-07-21,0,0,0,1
042799246740,2016Q4,4,6,0,,2015-07-21,0,0,1,
042799246740,2017Q1,1,0,0,,2015-07-21,0,1,,
042799246740,2017Q2,2,0,0,,2015-07-21,1,,,
042799246740,2017Q3,3,0,1,0.0,2015-07-21,,,,
042799261682,2014Q3,3,0,5,0.0,2014-07-22,0,0,0,2
