product_name,author,publisher,barcode,isbn_10,isbn_13,availability,best_sellers_rank,number_of_reviews,customer_reviews,rating,description,keywords,print_length,item_weight,length,width,height,publication_date,reading_age,book_format,edition,product_url,features,language,part_of_series,product,title,price_hkd,original_price_hkd,barcode2,isbn,price_amazon_hkd
Billionaire Boy: A funny friendship story for children ages 9+ from the Sunday Times bestseller,David Walliams,HarperCollinsChildren’sBooks,9780007371082,,9780007371433.0,,"#308,734 in Kindle Store (See Top 100 in Kindle Store)   #105 in Children's Time Travel Books  #288 in Children's Humorous Action & Adventure  #1,574 in Children's Humorous Literature",10594.0,4.5,4.5,"A hilarious, touching and extraordinary new fable from David Walliams, number one bestseller and one of the fastest growing children’s author across the globe.","globe, touching, fable, walliams, extraordinary, children's fiction, humorous, heartwarming, fantasy",293.0,,,,,2010-10-28,9 years and up,Unknown,,https://www.amazon.com/Billionaire-Boy-David-Walliams-ebook/dp/B004AHM8RW/ref=sr_1_1?currency=USD&dib=eyJ2IjoiMSJ9.kGx9l382GIXa9laSdJJGSOLGoSYJqwIBKLUuYK-2VoU.Wp387j2byzvZroCV2PqwNEFZrMs9M5x7dl_F70cIMXI&dib_tag=se&keywords=9780007371082&qid=1762857240&sr=8-1,,English,,000737108X,David Walliams - Billionaire Boy,112.0,115.00,9780007371082,,62.322
My Five Senses (Let's-Read-and-Find-Out Science 1),Aliki,HarperCollins,9780064450836,62381911.0,9780062381910.0,In Stock,"#275,382 in Books (See Top 100 in Books)   #30 in Children's Anatomy Books  #71 in Children's Earth Sciences Books (Books)  #347 in Children's Biology Books (Books)",1242.0,4.8,4.8,Read and find out about your five senses in this colorfully illustrated nonfiction picture book.,"colorfully, senses, nonfiction, illustrated, five, five senses, picture book, educational, children",32.0,340.19,10.0,0.38,8.0,2015-08-04,"2 - 5 years, from customers",Unknown,Revised,https://www.amazon.com/Five-Senses-Lets-Read-Find-Out-Science/dp/0062381911/ref=sr_1_1?currency=USD&dib=eyJ2IjoiMSJ9.lEjzsRPTCKfxUfdNnTqQ9A.vr6znZ7bqCKipTBA541Eijj2wq9kzyzql7tT7LdY4uE&dib_tag=se&keywords=9780064450836&qid=1762857317&sr=8-1,,English,Let's-Read-and-Find-Out Science 1,006445083X,Let's Read-and-Find-Out - Science (S-1): My Five Senses,59.9,59.90,9780064450836,,107.094
,,,794764010916,,,,,,,,,,,,,,,,,,,,,,,01091,University Games: Captain Underpants Rip Roaring Race Game,199.0,199.00,794764010916,01091,
,,,794764010930,,,,,,,,,,,,,,,,,,,,,,,01093,Univeristy Games: Captain Underpants Sign Changing Game,149.0,149,794764010930,01093,
From Head to Toe,Eric Carle,HarperCollins,9780140563788,694013013.0,9780694013012.0,In Stock,"#2,944 in Books (See Top 100 in Books)   #4 in Children's Books on the Body  #18 in Children's Sense & Sensation Books  #39 in Poetry for Early Learning",6824.0,4.8,4.8,"From Eric Carle, the New York Times bestselling creator of beloved books including The Very Hungry Caterpillar and The Grouchy Ladybug, comes From Head to Toe , a colorful and energetic book that will have young readers clapping their hands, stomping their feet, and wiggling their toes! Giraffes can bend their necks, monkeys can wave their hands, and donkeys can kick their legs. And so can you! Throughout this interactive book, the animals of invite young readers to copy their antics as they play. Through Eric Carle’s vibrant collages and simple instructions, children will learn the importance of listening, exercising, and taking on a new challenge. Join the giraffes, monkeys, donkeys, seals, and more for a frolicking, fun adventure.  From Eric Carle, the New York Times bestselling creator of beloved books including The Very Hungry Caterpillar and The Grouchy Ladybug, comes From Head to Toe , a colorful and energetic book that will have young readers clapping their hands, stomping their feet, and wiggling their toes! Giraffes can bend their necks, monkeys can wave their hands, and donkeys can kick their legs. And so can you! Throughout this interactive book, the animals of From Head to Toe invite young readers to copy their antics as they play. Through Eric Carle’s vibrant collages and simple instructions, children will learn the importance of listening, exercising, and taking on a new challenge. Join the giraffes, monkeys, donkeys, seals, and more for a frolicking, fun adventure.","donkeys, giraffes, monkeys, carle, eric, interactive, physical activity, children's literature, animals, body awareness",28.0,226.8,4.75,0.5,7.0,1999-03-27,"1 - 3 years, from customers",Unknown,Brdbk,https://www.amazon.com/Head-Toe-Board-Book/dp/0694013013/ref=sr_1_1?currency=USD&dib=eyJ2IjoiMSJ9.L2KTp9WzPk9LltvxO-kNbQ.Xx1E11U1kycLBIaN7ZPfYMeNBjhuX5Xu-wFejzCNDIc&dib_tag=se&keywords=9780140563788&qid=1762857426&sr=8-1,,English,,0140563784,Eric Carle - From Head to Toe,112.0,99.90,9780140563788,,62.322
Roald Dahl 15 Book Box Set,Roald Dahl,Penguin Group,9780140926521,140926526.0,9780140926521.0,In Stock,"#365,576 in Books (See Top 100 in Books)",1664.0,4.7,4.7,"Roald Dahl's stories continue to delight, excite, shock, entertain and please generation after generation of children. This 15 book box set includes: The BFG, Matilda, Esio Trot, George's Marvellous Medicine, Charlie and the Chocolate Factory, Fantastic Mr Fox, Charlie and the Great Glass Elevator, The Magic Finger, Danny the Champion of the World, The Twits, The Witches, Going Solo, The Giraffe and the Pelly and me, James and the Giant Peach, and Boy Tales of Childhood. Paperbacks. Illustrations by Quentin Blake.","charlie, generation, excite, shock, esio, children's literature, fantasy, humor, adventure, classic fiction",,2381.36,4.92,0.59,8.27,1997-01-01,"7 - 11 years, from customers",Unknown,First Edition,https://www.amazon.com/Roald-Dahl-Book-Box-Set/dp/0140926526/ref=sr_1_1?currency=USD&dib=eyJ2IjoiMSJ9.L4g4h7ciEmHl6s6xswnl9iXbmCvLQr5zG7-gMpV9ROs.pjC_NUADDH1onIblrkgZkhAyT0KAU1yZJkXqY64NDr8&dib_tag=se&keywords=9780140926521&qid=1762857467&sr=8-1,,English,,0140926526,Roald Dahl - 15 Fantasic Stories,599.0,1375.00,9780140926521,SPECIAL PRICE,335.322
,,,nan,,,,,,,,,,,,,,,,,,,,,,,0141324902,Diary of a Wimpy Kid,79.9,65.00,9780141324906,,
,,,nan,,,,,,,,,,,,,,,,,,,,,,,0141324910,Diary of a Wimpy Kid #2: Rodrick Rules,79.9,99.90,9780141324913,,
,,,nan,,,,,,,,,,,,,,,,,,,,,,,0141331976,Diary of a Wimpy Kid #4: Dog Days,79.9,115.00,9780141331973,,
,,,nan,,,,,,,,,,,,,,,,,,,,,,,0142410314,Roald Dahl - Charlie and the Chocolate Factory,89.9,$59.90,9780142410318,,
The Tyrannosaurus Drip Song,Julia Donaldson,Macmillan Children's Books,9780230736108,230736106.0,9780230736108.0,Only 2 left in stock - order soon.,,8.0,3.4,3.4,"When a timid little duckbill dinosaur hatches out in a T rex nest he feels decidedly out of place. Poor little Drip: all he wants is a quiet life munching on waterweed . . . But his grisly big sisters are about to discover that Drip is braver than he looks!Including music and lyrics, this fantastic Jurassic adventure is perfect for any child who can't wait to spend their World Book Day voucher. Now everyone can sing along!","drip, timid, duckbill, hatches, decidedly, dinosaur, children's adventure, courage, humor, musical",16.0,100.07,5.71,0.04,7.09,2009-02-01,2 - 6 years,Unknown,World Book Day Ed,https://www.amazon.com/Tyrannosaurus-Drip-Song-World-Book/dp/0230736106/ref=sr_1_1?currency=USD&dib=eyJ2IjoiMSJ9.HA_wKkjNHJA6GJIye62yQg.CiSmjW4rGTWu1bFcy7fEXhRbSt2NUp7K4F3unEWOMN0&dib_tag=se&keywords=9780230736108&qid=1762857651&sr=8-1,,English,,0230736106,"^Picture Book (Mini): Tyrannasaurus Drip Song, The",16.0,0,9780230736108,SPECIAL PRICE,48.36
,,,nan,,,,,,,,,,,,,,,,,,,,,,,0241003008,Board Book: The Very Hungry Caterpillar,112.0,95.00,9780241003008,,
"I Like Stars (Step-Into-Reading, Step 1)",Margaret Wise Brown,Random House Books for Young Readers,9780307261052,9780307261052.0,9780307261052.0,In Stock,"#382,068 in Books (See Top 100 in Books)   #1,145 in Stories in Verse  #1,200 in Early Learning Beginner Readers  #4,521 in Children's Beginner Readers",215.0,4.2,4.2,I like stars. Blue stars. Far stars. Shooting stars. I like stars!,"stars, shooting, far, blue, astronomy, wonder, children, nature",32.0,73.99,9.12,6.04,0.1,1998-07-15,"2 - 5 years, from customers",Unknown,,https://www.amazon.com/Like-Stars-Step-Into-Reading-Step/dp/0307261050/ref=sr_1_1?currency=USD&dib=eyJ2IjoiMSJ9.N1hnjBdYTBVuxP6qpTjFZA.NLEx34VhZCupzG-LrhBSAdRTAOuUX5btjtK5AfGQzg8&dib_tag=se&keywords=9780307261052&qid=1762857688&sr=8-1,,English,Step into Reading,0307261050,Step into Reading (S1): I Like Stars,39.9,39.90,9780307261052,,46.722
"I Like Bugs (Step-Into-Reading, Step 1)",Margaret Wise Brown,Random House Books for Young Readers,9780307261076,307261077.0,9780307261076.0,In Stock,"#14,031 in Books (See Top 100 in Books)   #56 in Children's Bug & Spider Books (Books)  #160 in Early Learning Beginner Readers  #473 in Children's Beginner Readers",1347.0,4.8,4.8,"This classic Step 1 Step into Reading all about insects, by the author of the beloved classic","classic, step, insects, beloved, nature, early readers, educational, children's literature",32.0,68.04,6.0,0.11,9.0,1999-06-15,"3 - 6 years, from customers",Unknown,"Step-Into-Reading, Step 1",https://www.amazon.com/Like-Bugs-Step-Into-Reading-Step/dp/0307261077/ref=sr_1_1?currency=USD&dib=eyJ2IjoiMSJ9._k8BsuQ33rOb7xPMvtq0gAe_VpjGpa8qCLSvk28gggrGjHj071QN20LucGBJIEps.li81sif4ophwbtRVkvosfJsce8LGBRUe_wKnkpgr2dg&dib_tag=se&keywords=9780307261076&qid=1762857715&sr=8-1,,English,Step into Reading,0307261077,Step into Reading (S1): I Like Bugs,39.9,39.90,9780307261076,,46.722
"Bear Hugs (Step-Into-Reading, Step 1)",Alyssa Satin Capucilli,Random House Books for Young Readers,9780307261137,307261131.0,9780307261137.0,Only 13 left in stock - order soon.,"#707,180 in Books (See Top 100 in Books)   #1,381 in Children's Bear Books (Books)  #1,650 in Early Learning Beginner Readers  #5,563 in Children's Beginner Readers",50.0,4.6,4.6,"Baby Bear asks his parents for all kinds of hugs—wet hugs, dry hugs, fly up to the sky hugs—in search of the best hug of all. The Step into Reading series entices brand-new readers with rhyme, rhythm, and repetition. The type is big, the words are easy, and the art is bright and bold.","hugs, entices, asks, hug, dry, children's literature, rhyme, early readers, parent-child relationships",32.0,73.99,9.0,5.9,0.2,2000-09-01,4 - 6 years,Unknown,Illustrated,https://www.amazon.com/Bear-Hugs-Step-Into-Reading-Step-1/dp/0307261131/ref=sr_1_1?currency=USD&dib=eyJ2IjoiMSJ9.JmkyPRx963kF-k86JtHbnQ.TNvDmDe3BoxGSDyOVrMraXVohVcCCacnB_TcN71TEVs&dib_tag=se&keywords=9780307261137&qid=1762857746&sr=8-1,,English,Step into Reading,0307261131,Step into Reading (S1): Bear Hugs,39.9,39.90,9780307261137,,46.722
Elmo Says Achoo! (Sesame Street) (Step into Reading),Sarah Albee,Random House Books for Young Readers,9780375803116,,9780307977915.0,,"#551,686 in Kindle Store (See Top 100 in Kindle Store)   #234 in Baby & Toddler Beginner Readers Books  #892 in Stories in Verse  #923 in Early Learning Beginner Readers",250.0,4.3,4.3,"Elmo's bringing a present to Oscar. But the mysterious wrapped gift has a curious effect--it's making Elmo sneeze! And every time Elmo sneezes, something funny happens. The youngest readers will love following along as Elmo's sneezes cause laundry to fall off a line and much more in this Early Step into Reading™ story.","elmo, sneezes, oscar, cause, laundry, sneezing, cause and effect, early readers, sesame street",32.0,,,,,2012-01-25,"1 - 3 years, from customers",Unknown,,https://www.amazon.com/Elmo-Achoo-Sesame-Street-Reading-ebook/dp/B006V3E1V4/ref=sr_1_1?currency=USD&dib=eyJ2IjoiMSJ9.ISw90HOxiG7exJUWGWSHMA.G86s_Cr10oUJB9G9tXGHygT1mlxTR7oEsOzcfqDP9dQ&dib_tag=se&keywords=9780375803116&qid=1762857768&sr=8-1,,English,Step into Reading,0375803114,Step into Reading (S1): S.St.- Elmo Says Achoo!,39.9,39.90,9780375803116,,31.122
"Happy Alphabet! A Phonics Reader (Step-Into-Reading, Step 1)",Anna Jane Hays,Random House Books for Young Readers,9780375812309,9780375812309.0,9780375812309.0,Only 3 left in stock - order soon.,"#703,956 in Books (See Top 100 in Books)   #1,584 in Poetry for Early Learning  #1,906 in Early Learning Beginner Readers  #6,359 in Children's Beginner Readers",18.0,4.9,4.9,This Step 1 Phonics Reader can help start your child on the road to reading success!,"road, phonics, start, reader, success, early reading, children's education, beginner readers, literacy",32.0,83.91,6.0,0.16,9.0,2002-01-22,4 - 6 years,Unknown,Illustrated,https://www.amazon.com/Happy-Alphabet-Phonics-Reader-Step-Into-Reading/dp/037581230X/ref=sr_1_1?currency=USD&dib=eyJ2IjoiMSJ9.1ornhuEXOmvHiftufNDqPA.7BC3dTiu9OyFCZB31NgnM7XxUeOpuuQsVZHFhYRMk_o&dib_tag=se&keywords=9780375812309&qid=1762857813&sr=8-1,,English,,037581230X,Step into Reading (S1): Happy Alphabet!,39.9,39.90,9780375812309,,10.764
Jack and Jill and Big Dog Bill: A Phonics Reader (Step Into Reading),Martha Weston,Random House Books for Young Readers,9780375812484,375812482.0,9780375812484.0,In Stock,"#366,777 in Books (See Top 100 in Books)   #1,265 in Early Learning Beginner Readers  #2,598 in Children's Dog Books (Books)  #4,424 in Children's Beginner Readers",179.0,4.6,4.6,This wintry Step 1 Phonics Reader can start your child on the road to reading success!,"wintry, road, phonics, start, reader, early reading, children's education, winter, beginner reader",32.0,73.99,6.06,0.14,9.0,2002-01-22,"2 - 6 years, from customers",Unknown,unknown,https://www.amazon.com/Jack-Jill-Big-Dog-Bill/dp/0375812482/ref=sr_1_1?currency=USD&dib=eyJ2IjoiMSJ9.mF5KIZXooYvd0Y4kI0zftw.sf5le-OHbl1pAKVwNv2Yd7d2Ehz30lnPvHHmgHDfQJo&dib_tag=se&keywords=9780375812484&qid=1762857832&sr=8-1,,English,,0375812482,Step into Reading (S1): Jack and Jill and Big Dog Bill: A Phonics Reader,49.9,39.90,9780375812484,,42.041999999999994
Little Witch Learns to Read: A Little Witch Book (Step into Reading),Deborah Hautzig,Random House Books for Young Readers,9780375821790,375821791.0,9780375821790.0,In Stock,"#175,946 in Books (See Top 100 in Books)   #1,191 in Children's Halloween Books (Books)  #2,056 in Children's School Issues  #2,951 in Children's Beginner Readers",131.0,4.8,4.8,"Guess who’s learning to read? Little Witch is—and she loves it. But Mother Witch won’t allow nice books about princesses and princes in the house! Little Witch resorts to using invisibility spells and staying up late to read, but it’s starting to wear her out. When the Witch family finally discovers Little Witch’s secret reading habit, she has one last trick to change their minds about books!","witch, princes, resorts, invisibility, habit, witches, reading, children's literature, rebellion, magic",48.0,119.07,6.0,0.14,9.0,2003-09-23,5 - 8 years,Unknown,1st,https://www.amazon.com/Little-Witch-Learns-Read-Reading/dp/0375821791/ref=sr_1_1?currency=USD&dib=eyJ2IjoiMSJ9.tSIyWTBgk8MmtvUp1PaV5Q.RfTG-mkZRfc0_rEmjJTbz9hGMifuH5Lt19WTg4sMn7M&dib_tag=se&keywords=9780375821790&qid=1762857851&sr=8-1,,English,Step into Reading,0375821791,Step into Reading (S3): Little Witch Learns to Read,39.9,39.90,9780375821790,,46.722
"Hungry Plants (Step-into-Reading, Step 4)",Mary Batten,Random House Books for Young Readers,9780375825330,375825339.0,9780375825330.0,In Stock,"#13,881 in Books (See Top 100 in Books)   #16 in Children's Flower & Plant Books (Books)  #92 in Children's Intermediate Readers  #453 in Children's Beginner Readers",1553.0,4.8,4.8,"This book offers readers a bug’s-eye view into the strange and fascinating world of carnivorous plants. From the “jaws” of the Venus flytrap to the pretty sundew plant whose delicate tentacles entrap its prey, the unique anatomy and behaviors of meat-eating plants are detailed with clear, engaging text and art.","plants, bug, view, venus, flytrap, carnivorous plants, venus flytrap, plant anatomy, predatory behavior, nature education",48.0,102.06,6.0,0.18,9.0,2004-02-24,"5 - 8 years, from customers",Unknown,"Step-into-Reading, Step 4",https://www.amazon.com/Hungry-Plants-Step-into-Reading-Step-4/dp/0375825339/ref=sr_1_1?currency=USD&dib=eyJ2IjoiMSJ9.g6R3g3MvLq6JWw6BMGBPssaQfyQ_pvmNG5vfOwL1EZ4.mByF_5qM681MD3DyS-6RetJujLAGFWYGD7DSZVmxeNc&dib_tag=se&keywords=9780375825330&qid=1762857872&sr=8-1,,English,Step into Reading,0375825339,Step into Reading (S4): Hungry Plants,49.9,39.90,9780375825330,,43.524
