product,title,price,book_original_price,barcode,barcode2,isbn
000737108X,David Walliams - Billionaire Boy,112.0,115.00,9780007371082,9780007371082,
006445083X,Let's Read-and-Find-Out - Science (S-1): My Five Senses,59.9,59.90,9780064450836,9780064450836,
01091,University Games: Captain Underpants Rip Roaring Race Game,199.0,199.00,794764010916,794764010916,01091
01093,Univeristy Games: Captain Underpants Sign Changing Game,149.0,149,794764010930,794764010930,01093
0140563784,Eric Carle - From Head to Toe,112.0,99.90,9780140563788,9780140563788,
0140926526,Roald Dahl - 15 Fantasic Stories,599.0,1375.00,9780140926521,9780140926521,SPECIAL PRICE
0141324902,Diary of a Wimpy Kid,79.9,65.00,,9780141324906,
0141324910,Diary of a Wimpy Kid #2: Rodrick Rules,79.9,99.90,,9780141324913,
0141331976,Diary of a Wimpy Kid #4: Dog Days,79.9,115.00,,9780141331973,
0142410314,Roald Dahl - Charlie and the Chocolate Factory,89.9,$59.90,,9780142410318,
0230736106,"^Picture Book (Mini): Tyrannasaurus Drip Song, The",16.0,0,9780230736108,9780230736108,SPECIAL PRICE
0241003008,Board Book: The Very Hungry Caterpillar,112.0,95.00,,9780241003008,
0307261050,Step into Reading (S1): I Like Stars,39.9,39.90,9780307261052,9780307261052,
0307261077,Step into Reading (S1): I Like Bugs,39.9,39.90,9780307261076,9780307261076,
0307261131,Step into Reading (S1): Bear Hugs,39.9,39.90,9780307261137,9780307261137,
0375803114,Step into Reading (S1): S.St.- Elmo Says Achoo!,39.9,39.90,9780375803116,9780375803116,
037581230X,Step into Reading (S1): Happy Alphabet!,39.9,39.90,9780375812309,9780375812309,
0375812482,Step into Reading (S1): Jack and Jill and Big Dog Bill: A Phonics Reader,49.9,39.90,9780375812484,9780375812484,
0375821791,Step into Reading (S3): Little Witch Learns to Read,39.9,39.90,9780375821790,9780375821790,
0375825339,Step into Reading (S4): Hungry Plants,49.9,39.90,9780375825330,9780375825330,
0375828923,Step Into Reading (S1): Thomas & Friends - Thomas Comes to Breakfast,49.9,39.90,9780375828928,9780375828928,
0375829733,Step into Reading (S3): Arthur Lost in the Museum,39.9,39.90,9780375829734,9780375829734,
0375831185,Step Into Reading (S1): Thomas & Friends - Thomas Goes Fishing,49.9,39.90,9780375831188,9780375831188,
0375831657,Step into Reading (S1): Hog and Dog,39.9,39.90,9780375831652,9780375831652,
0375832416,Step into Reading (S1): Dancing Dinos Go to School,49.9,39.90,9780375832413,9780375832413,
0375834214,Step into Reading (S2): Mary Clare Likes to Share,39.9,39.90,0375834214,9780375834219,
0375834486,Step into Reading (S1): Tae Kwon Do!,39.9,39.90,9780375834486,9780375834486,
0375842896,Step into Reading (S1): Thomas & Friends - Thomas and the Jet Engine,49.9,39.90,9780375842894,9780375842894,
0375845623,Step into Reading (S1): Panda Kisses,49.9,39.90,9780375845628,9780375845628,
0375852085,Step into Reading (S1): DC Super Friends - Flying High,49.9,39.90,9780375852084,9780375852084,
0375856382,Step into Reading (S2): Monster Parade,39.9,39.90,9780375856389,9780375856389,
0375861777,Step into Reading (S1): Thomas & Friends - Stuck in the Mud,49.9,39.90,9780375861772,9780375861772,
0375865853,Step into Reading (S3): Gulliver in Lilliput,39.9,39.90,9780375865855,9780375865855,
0375867163,Step into Reading (S3): Dr. Seuss - Show Me the Honey,39.9,39.90,9780375867163,9780375867163,
0375867775,Step into Reading (S2): DC Super Friends - T. Rex Trouble,49.9,39.90,9780375867774,9780375867774,
0394865707,First Time Bk: BBears & Too Much TV,49.9,32.50,,9780394865706,
0394868161,"Step into Reading (S3): R.S. - Best Mistake Ever! and Other Stories, The",39.9,39.90,9780394868165,9780394868165,
