barcode2,First_sale,First_sale_quarter,First_sale_year_quarter,first_week_qty,first_2weeks_qty,first_4weeks_qty,avg_discount_12_months,qty_1_3_months,qty_4_6_months,qty_7_9_months,qty_10_12_months
000640,2019-06-18,2,2019-Q2,48,49,49,-inf,49,0,0,0
000719,2020-10-06,4,2020-Q4,302,432,434,-inf,435,1,0,0
000728,2021-02-18,1,2021-Q1,37,73,151,-inf,191,0,0,0
042799230008,2015-07-17,3,2015-Q3,1,4,7,4.137931034482759,7,25,15,12
042799240717,2014-02-09,1,2014-Q1,3,4,6,0.7142857142857142,10,3,9,6
042799240731,2014-01-29,1,2014-Q1,2,3,5,1.4285714285714284,8,7,6,7
042799246740,2014-11-22,4,2014-Q4,2,4,14,-5.3944764166742765,34,16,23,16
042799261682,2014-02-21,1,2014-Q1,2,5,6,0.8163265306122449,10,14,12,14
042799717271,2014-02-10,1,2014-Q1,1,1,1,1.176470588235295,3,2,5,7
042799746394,2014-01-01,1,2014-Q1,3,6,8,3.59375,27,93,13,1
042799747162,2014-01-26,1,2014-Q1,2,2,4,2.142857142857143,7,0,7,0
042799768518,2014-01-28,1,2014-Q1,3,4,4,0.0,9,2,6,13
042799778098,2014-01-05,1,2014-Q1,4,6,6,1.2244897959183674,13,10,7,19
042799789957,2014-01-03,1,2014-Q1,1,2,3,1.4285714285714286,4,3,7,14
042799801130,2014-01-30,1,2014-Q1,1,1,2,1.3333333333333333,4,2,8,16
042799801147,2014-02-26,1,2014-Q1,2,2,3,0.8695652173913043,4,6,8,5
042799801154,2014-03-04,1,2014-Q1,2,3,3,0.5263157894736842,6,7,7,18
042799808719,2014-02-23,1,2014-Q1,1,2,2,0.7142857142857146,3,6,1,4
042799810064,2014-01-01,1,2014-Q1,7,9,9,6.578947368421053,12,11,6,7
042799811658,2014-01-18,1,2014-Q1,1,1,1,0.0,2,3,0,11
042799826959,2014-01-06,1,2014-Q1,2,4,4,-20.490262298772937,4,10,11,29
4006592017835,2018-07-03,3,2018-Q3,5,6,9,2.2739079102715465,37,51,27,25
697675458283,2019-10-11,4,2019-Q4,3,5,11,15.977944862155388,33,8,49,50
786943084221,2014-02-09,1,2014-Q1,1,1,1,0.0,1,0,0,0
786943086102,2014-04-12,2,2014-Q2,2,2,2,0.0,3,0,0,0
794764010916,2017-07-06,3,2017-Q3,2,2,5,4.345728643216081,8,5,6,6
794764010930,2018-12-21,4,2018-Q4,1,1,2,0.8333333333333336,4,2,3,3
