barcode2,First_sale,First_sale_quarter,First_sale_year_quarter,first_week_qty,first_2weeks_qty,first_4weeks_qty,avg_discount_12_months,qty_1_3_months,qty_4_6_months,qty_7_9_months,qty_10_12_months
042799230008,2015-07-21,3,2015-Q3,4,4,4,0.0,4,0,0,0
042799246740,2015-07-21,3,2015-Q3,4,4,4,0.0,4,0,0,0
042799261682,2014-07-22,3,2014-Q3,5,5,5,0.0,5,0,0,0
042799717271,2014-07-22,3,2014-Q3,1,1,1,0.0,1,0,0,0
042799746394,2014-07-22,3,2014-Q3,6,6,6,0.0,6,0,0,0
042799748800,2014-07-22,3,2014-Q3,1,1,1,0.0,1,0,0,0
042799768518,2019-07-23,3,2019-Q3,12,12,12,0.0,12,0,0,0
042799789957,2016-07-26,3,2016-Q3,2,2,2,0.0,2,0,0,0
042799801130,2014-07-22,3,2014-Q3,6,6,6,0.0,6,0,0,0
042799801147,2014-07-22,3,2014-Q3,10,10,10,0.0,10,0,0,0
042799801154,2014-07-22,3,2014-Q3,3,3,3,0.0,3,0,0,0
042799808719,2014-07-22,3,2014-Q3,4,4,4,0.0,4,0,0,0
042799810064,2014-07-22,3,2014-Q3,1,1,1,5.263157894736842,1,0,0,0
042799826959,2015-07-21,3,2015-Q3,8,8,8,0.0,8,0,0,0
697675458283,2022-07-26,3,2022-Q3,22,22,22,48.0,22,0,0,0
786943084221,2015-07-21,3,2015-Q3,68,68,68,0.0,68,0,0,0
786943086102,2014-07-22,3,2014-Q3,17,17,17,0.0,17,0,0,0
805219011041,2015-07-21,3,2015-Q3,35,35,35,0.0,35,0,0,0
805219458198,2021-07-20,3,2021-Q3,2,2,2,0.0,2,0,0,0
9780007371082,2018-07-24,3,2018-Q3,14,14,14,6.25,14,0,0,0
9780007453580,2018-07-24,3,2018-Q3,11,11,11,6.25,11,0,0,0
9780008304607,2018-07-20,3,2018-Q3,113,113,113,33.81431767337808,113,0,0,0
9780008363994,2019-07-23,3,2019-Q3,166,166,166,41.01512088622949,166,0,0,0
9780008430306,2021-07-20,3,2021-Q3,6,6,6,16.778523489932887,6,0,107,0
